site_code;class;family_cor;genus;sp;nb_sample;nb_empty;item_raw;item;item_phylum;item_class;item_ord;item_fam;item_gen;item_sp;item_volper;grp6;grp1;grp3;nb_guts;item_freq;time;fish_sp
vir;Elasmobranchii;Ginglymostomatidae;Ginglymostoma;cirratum;24;15;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;89;Actinopterygii;Fish;Actinopterygii;9;NA;NA;Ginglymostoma cirratum
vir;Elasmobranchii;Ginglymostomatidae;Ginglymostoma;cirratum;24;15;Cephalopods;Cephalopoda;Mollusca;Cephalopoda;NA;NA;NA;NA;11;Cephalopoda;Cephalopoda;Cephalopoda;9;NA;NA;Ginglymostoma cirratum
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;21.8;Actinopterygii;Fish;Actinopterygii;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Aspidosiphon_sp;Aspidosiphon sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Aspidosiphon;sp;20.6;Worm;Sipuncula;Sipuncula;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;17.6;Decapoda;Crab;Malacostraca;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;17.3;Worm;Annelida;Polychaeta;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Asaphis_deflorata;Asaphis deflorata;Mollusca;Bivalvia;Veneroida;Psammobiidae;Asaphis;deflorata;10.8;Bivalvia;Bivalvia;Bivalvia;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;7.6;Decapoda;Shrimp;Malacostraca;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Hemichordates;Hemichordata;Hemichordata;NA;NA;NA;NA;NA;2.3;Worm;Hemichordata;Microfauna;23;NA;NA;Dasyatis americana
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Stomatopod;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;2;Stomatopoda;Stomatopoda;Malacostraca;23;NA;NA;Dasyatis americana
