site_code;class;family_cor;genus;sp;nb_sample;nb_empty;item_raw;item;item_phylum;item_class;item_ord;item_fam;item_gen;item_sp;item_volper;nb_guts;item_freq;time;fish_sp;grp1;grp3;grp6
vir;Elasmobranchii;Ginglymostomatidae;Ginglymostoma;cirratum;24;15;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;89;9;NA;NA;Ginglymostoma cirratum;Actinopterygii;Actinopterygii;Actinopterygii
vir;Elasmobranchii;Ginglymostomatidae;Ginglymostoma;cirratum;24;15;Cephalopods;Cephalopoda;Mollusca;Cephalopoda;NA;NA;NA;NA;11;9;NA;NA;Ginglymostoma cirratum;Cephalopoda;Cephalopoda;Cephalopoda
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;21.8;23;NA;NA;Dasyatis americana;Actinopterygii;Actinopterygii;Actinopterygii
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Aspidosiphon_sp;Aspidosiphon sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Aspidosiphon;sp;20.6;23;NA;NA;Dasyatis americana;Sipuncula;Sipuncula;Worm
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;17.6;23;NA;NA;Dasyatis americana;Brachyura;Malacostraca;Decapoda
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;17.3;23;NA;NA;Dasyatis americana;Annelida;Annelida;Worm
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Asaphis_deflorata;Asaphis deflorata;Mollusca;Bivalvia;Veneroida;Psammobiidae;Asaphis;deflorata;10.8;23;NA;NA;Dasyatis americana;Bivalvia;Bivalvia;Bivalvia
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;7.6;23;NA;NA;Dasyatis americana;Shrimp;Malacostraca;Decapoda
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Hemichordates;Hemichordata;Hemichordata;NA;NA;NA;NA;NA;2.3;23;NA;NA;Dasyatis americana;Hemichordata;Hemichordata;Worm
vir;Elasmobranchii;Dasyatidae;Dasyatis;americana;25;2;Stomatopod;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;2;23;NA;NA;Dasyatis americana;Stomatopoda;Malacostraca;Stomatopoda
vir;Elasmobranchii;Mylobatidae;Aetobatus;narinari;4;1;Gastropods;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;53.4;3;NA;NA;Aetobatus narinari;Gastropoda;Gastropoda;Gastropoda
vir;Elasmobranchii;Mylobatidae;Aetobatus;narinari;4;1;Pelecypod;Bivalvia;Mollusca;Bivalvia;NA;NA;NA;NA;46.6;3;NA;NA;Aetobatus narinari;Bivalvia;Bivalvia;Bivalvia
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;55;12;NA;NA;Harengula clupeola;Copepoda;Hexanauplia;Copepoda
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;25;12;NA;NA;Harengula clupeola;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;8;12;NA;NA;Harengula clupeola;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;5;12;NA;NA;Harengula clupeola;Annelida;Annelida;Worm
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Pteropods_Cresis_sp;Creseis sp;Mollusca;Gastropoda;Pteropoda;Creseidae;Creseis;sp;5;12;NA;NA;Harengula clupeola;Pteropoda;Gastropoda;Zooplankton
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;2;12;NA;NA;Harengula clupeola;Zooplankton;Actinopterygii;Zooplankton
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;60.5;24;NA;NA;Harengula humeralis;Actinopterygii;Actinopterygii;Actinopterygii
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;29;24;NA;NA;Harengula humeralis;Annelida;Annelida;Worm
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;5;24;NA;NA;Harengula humeralis;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Plants;Plantae;NA;NA;NA;NA;NA;NA;2.5;24;NA;NA;Harengula humeralis;Algae;Benthic autotroph;Benthic autotroph
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Crab larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;1;24;NA;NA;Harengula humeralis;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;26.6;17;NA;NA;Opisthonema oglinum;Copepoda;Hexanauplia;Copepoda
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;22.4;17;NA;NA;Opisthonema oglinum;Annelida;Annelida;Worm
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;17.1;17;NA;NA;Opisthonema oglinum;Shrimp;Malacostraca;Decapoda
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;9.8;17;NA;NA;Opisthonema oglinum;Actinopterygii;Actinopterygii;Actinopterygii
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;6.4;17;NA;NA;Opisthonema oglinum;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Mysids;Mysida;Arthropoda;Malacostraca;Mysida;NA;NA;NA;5.5;17;NA;NA;Opisthonema oglinum;Mysida;Malacostraca;Peracarida
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Appendicularians;Appendicularia;Chordata;Appendicularia;NA;NA;NA;NA;3;17;NA;NA;Opisthonema oglinum;Tunicata;Tunicata;Tunicata
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Stomatopod larvae;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;2.5;17;NA;NA;Opisthonema oglinum;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Eggs;Eggs;NA;NA;NA;NA;NA;NA;2.5;17;NA;NA;Opisthonema oglinum;Zooplankton;Eggs;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Gastropod larvae;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;1.6;17;NA;NA;Opisthonema oglinum;Zooplankton;Gastropoda;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Siphonophores;Siphonophorae;Cnidaria;Hydrozoa;Siphonophorae;NA;NA;NA;0.7;17;NA;NA;Opisthonema oglinum;Hydrozoa;Medusozoa;Medusozoa
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Pelecypod larvae;Bivalvia;Mollusca;Bivalvia;NA;NA;NA;NA;0.6;17;NA;NA;Opisthonema oglinum;Zooplankton;Bivalvia;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Ostracods;Ostracoda;Arthropoda;Ostracoda;NA;NA;NA;NA;0.5;17;NA;NA;Opisthonema oglinum;Ostracoda;Ostracoda;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;0.5;17;NA;NA;Opisthonema oglinum;Zooplankton;Actinopterygii;Zooplankton
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Pteropods;Pteropoda;Mollusca;Gastropoda;Pteropoda;NA;NA;NA;0.3;17;NA;NA;Opisthonema oglinum;Pteropoda;Gastropoda;Zooplankton
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;74;18;NA;NA;Jenkinsia lamprotaenia;Copepoda;Hexanauplia;Copepoda
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;4.2;18;NA;NA;Jenkinsia lamprotaenia;Zooplankton;Malacostraca;Zooplankton
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Hyperiid;Hyperiidea;Arthropoda;Malacostraca;Amphipoda;NA;NA;NA;3.8;18;NA;NA;Jenkinsia lamprotaenia;Amphipoda;Malacostraca;Peracarida
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;1.1;18;NA;NA;Jenkinsia lamprotaenia;Zooplankton;Actinopterygii;Zooplankton
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;94.5;18;NA;NA;Synodus intermedius;Actinopterygii;Actinopterygii;Actinopterygii
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Squids;Teuthida;Mollusca;Cephalopoda;Teuthida;NA;NA;NA;5;18;NA;NA;Synodus intermedius;Cephalopoda;Cephalopoda;Cephalopoda
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;0.5;18;NA;NA;Synodus intermedius;Shrimp;Malacostraca;Decapoda
vir;Actinopterygii;Synodontidae;Synodus;foetens;9;6;Anchoa_sp;Anchoa sp;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Anchoa;sp;100;3;NA;NA;Synodus foetens;Actinopterygii;Actinopterygii;Actinopterygii
vir;Actinopterygii;Muraenidae;Echidna;catenata;11;3;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;96.3;8;NA;NA;Echidna catenata;Brachyura;Malacostraca;Decapoda
vir;Actinopterygii;Muraenidae;Echidna;catenata;11;3;Lysmata_moorei;Lysmata moorei;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lysmata;moorei;3.7;8;NA;NA;Echidna catenata;Shrimp;Malacostraca;Decapoda
vir;Actinopterygii;Muraenidae;Gymnothorax;moringa;26;20;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;100;6;NA;NA;Gymnothorax moringa;Actinopterygii;Actinopterygii;Actinopterygii
vir;Actinopterygii;Muraenidae;Gymnothorax;vicinus;11;7;Scarus_sp;Scarus sp;Chordata;Actinopterygii;Pleurotomariida;Scissurellidae;Scarus;sp;62.5;4;NA;NA;Gymnothorax vicinus;Actinopterygii;Actinopterygii;Actinopterygii
