"","site_code","class","family_cor","fish_sp","genus","sp","nb_sample","nb_guts","nb_empty","item_raw","item_phylum","item_class","item_ord","item_fam","item_gen","item_sp","item_freq","item_volper","time","grp1","grp6"
"1","jap","Actinopterygii","Synodontidae","Saurida gracilis","Saurida","gracilis",7,4,3,"Siganid fish","Chordata","Actinopterygii","Perciformes","Siganidae",NA,NA,1,NA,NA,"Actinopterygii","Actinopterygii"
"2","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,1,NA,NA,"Copepoda","Zooplankton"
"3","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,1,NA,NA,"Copepoda","Zooplankton"
"4","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Cumaceans","Arthropoda","Malacostraca","Cumacea",NA,NA,NA,0.78,NA,NA,"Cumacea","Zooplankton"
"5","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Caprellid amphipods","Arthropoda","Malacostraca","Amphipoda","Caprellidae",NA,NA,0.67,NA,NA,"Amphipoda","Zooplankton"
"6","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.78,NA,NA,"Amphipoda","Zooplankton"
"7","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.67,NA,NA,"Isopoda","Zooplankton"
"8","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Cyclopoid copepods","Arthropoda","Hexanauplia","Cyclopoida",NA,NA,NA,0.67,NA,NA,"Copepoda","Zooplankton"
"9","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.67,NA,NA,"Tanaidacea","Zooplankton"
"10","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Cirripedia_larvae","Arthropoda","Hexanauplia",NA,NA,NA,NA,0.33,NA,NA,"Cirripedia","Zooplankton"
"11","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Ostracods","Arthropoda","Ostracoda",NA,NA,NA,NA,0.22,NA,NA,"Ostracoda","Zooplankton"
"12","jap","Actinopterygii","Syngnathidae","Corythoichthys haematopterus","Corythoichthys","haematopterus",9,9,0,"Sand",NA,NA,NA,NA,NA,NA,0.22,NA,NA,"Inorganic","Inorganic"
