"","Family","nom","item","mean_length","max_length","min_length","nb_sample","nb_guts","n","freq_item","item_raw","item_family","item_ord","item_class","item_phylum","item_kingdom","site_code","class","fish_sp","genus_cor","sp_cor"
"1","Carcharhinidae","Carcharhinus albimarginatus","Poisson",665,760,610,8,4,3,0.75,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Elasmobranchii","Carcharhinus albimarginatus","Carcharhinus","albimarginatus"
"2","Dasyatidae","Neotrygon kuhlii","vers",327.971014492754,495,170,69,7,5,0.714285714285714,"Worms",NA,NA,NA,NA,"Animalia","nca","Elasmobranchii","Neotrygon kuhlii","Neotrygon","kuhlii"
"3","Elopidae","Elops machnata","crabes",277.285714285714,850,185,70,13,1,0.0769230769230769,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Insecta","Elops machnata","Elops","machnata"
"4","Elopidae","Elops machnata","crabes",277.285714285714,850,185,70,13,1,0.0769230769230769,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Elops machnata","Elops","machnata"
"5","Elopidae","Elops machnata","nudibranche",277.285714285714,850,185,70,13,1,0.0769230769230769,"Nudibranchia",NA,"Nudibranchia","Gastropoda","Mollusca","Animalia","nca","Insecta","Elops machnata","Elops","machnata"
"6","Elopidae","Elops machnata","nudibranche",277.285714285714,850,185,70,13,1,0.0769230769230769,"Nudibranchia",NA,"Nudibranchia","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Elops machnata","Elops","machnata"
"7","Elopidae","Elops machnata","Poisson",277.285714285714,850,185,70,13,11,0.846153846153846,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Insecta","Elops machnata","Elops","machnata"
"8","Elopidae","Elops machnata","Poisson",277.285714285714,850,185,70,13,11,0.846153846153846,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Elops machnata","Elops","machnata"
"9","Megalopidae","Megalops cyprinoides","Poisson",276.95652173913,470,170,46,16,11,0.6875,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Megalops cyprinoides","Megalops","cyprinoides"
"10","Albulidae","Albula sp","crabes",573.538461538462,780,390,26,8,4,0.5,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Albula sp","Albula","sp"
"11","Albulidae","Albula sp","bivalves",573.538461538462,780,390,26,8,2,0.25,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Albula sp","Albula","sp"
"12","Albulidae","Albula sp","Poisson",573.538461538462,780,390,26,8,1,0.125,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Albula sp","Albula","sp"
"13","Albulidae","Albula sp","vers",573.538461538462,780,390,26,8,1,0.125,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Albula sp","Albula","sp"
"14","Albulidae","Albula sp","crustacé",573.538461538462,780,390,26,8,1,0.125,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Albula sp","Albula","sp"
"15","Chirocentridae","Chirocentrus dorab","Poisson",475,630,325,31,6,4,0.666666666666667,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Chirocentrus dorab","Chirocentrus","dorab"
"16","Chanidae","Chanos chanos","algues",235.572916666667,350,145,96,4,4,1,"Algae",NA,NA,NA,NA,"Plantae","nca","Actinopterygii","Chanos chanos","Chanos","chanos"
"17","Synodontidae","Saurida gracilis","Poisson",137.197368421053,212,70,76,9,9,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Saurida gracilis","Saurida","gracilis"
"18","Synodontidae","Saurida undosquamis","Poisson",212.066083576288,330,65,1029,240,221,0.920833333333333,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Saurida undosquamis","Saurida","undosquamis"
"19","Synodontidae","Saurida undosquamis","crabes",212.066083576288,330,65,1029,240,1,0.00416666666666667,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Saurida undosquamis","Saurida","undosquamis"
"20","Synodontidae","Synodus dermatogenys","Poisson",122.325581395349,180,80,43,9,9,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Synodus dermatogenys","Synodus","dermatogenys"
"21","Sphyrnidae","Sphyrna lewini","crabes",513.275862068965,770,380,29,3,1,0.333333333333333,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Elasmobranchii","Sphyrna lewini","Sphyrna","lewini"
"22","Carcharhinidae","Carcharhinus melanopterus","Poisson",567.5,710,485,6,4,1,0.25,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Elasmobranchii","Carcharhinus melanopterus","Carcharhinus","melanopterus"
"23","Dasyatidae","Dasyatis bennetti","crevettes",485,485,485,2,2,2,1,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Elasmobranchii","Hemitrygon bennettii","Hemitrygon","bennettii"
"24","Dasyatidae","Neotrygon kuhlii","bivalves",327.971014492754,495,170,69,7,1,0.142857142857143,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Elasmobranchii","Neotrygon kuhlii","Neotrygon","kuhlii"
"25","Dasyatidae","Neotrygon kuhlii","crevettes",327.971014492754,495,170,69,7,2,0.285714285714286,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Elasmobranchii","Neotrygon kuhlii","Neotrygon","kuhlii"
"26","Megalopidae","Megalops cyprinoides","crustacé",276.95652173913,470,170,46,16,2,0.125,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Megalops cyprinoides","Megalops","cyprinoides"
"27","Megalopidae","Megalops cyprinoides","crabes",276.95652173913,470,170,46,16,1,0.0625,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Megalops cyprinoides","Megalops","cyprinoides"
