site,cons_class,cons_fam,cons_sp,lev1,lev2,w,nb_sample,nb_guts,nb_empty,cons_size
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Algae,Benthic autotroph,0.4,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Annelida,Worm,0.4,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Copepoda,Zooplankton,1,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Copepoda,Zooplankton,0.8,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Copepoda,Zooplankton,0.4,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Cyanobacteria,Cyanobacteria,0.2,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Shrimp,Decapoda,0.4,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Tunicata,Tunicata,0.1,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Zooplankton,Zooplankton,0.4,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Zooplankton,Zooplankton,0.2,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Zooplankton,Zooplankton,0.1,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Zooplankton,Zooplankton,0.1,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf abdominalis,Zooplankton,Zooplankton,0.1,14,10,4,30
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Algae,Benthic autotroph,1,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Amphipoda,Zooplankton,1,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Annelida,Worm,0.4,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Brachyura,Decapoda,0.8,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Bryozoa,Bryozoa,0.4,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Gastropoda,Gastropoda,0.8,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Hydrozoa,Medusozoa,0.4,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Insecta,Insecta,0.2,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Porifera,Porifera,0.8,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Pycnogonida,Pycnogonida,0.4,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Tanaidacea,Zooplankton,0.6,5,5,0,24
haw,Actinopterygii,Pomacentridae,Abudefduf sordidus,Zooplankton,Zooplankton,0.4,5,5,0,24
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Amphipoda,Zooplankton,0.428571429,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Annelida,Worm,0.285714286,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Chaetognatha,Zooplankton,0.857142857,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Copepoda,Zooplankton,0.571428571,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Copepoda,Zooplankton,0.142857143,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Cyanobacteria,Cyanobacteria,0.285714286,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Hydrozoa,Medusozoa,0.571428571,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Shrimp,Decapoda,0.142857143,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Tunicata,Tunicata,1,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Tunicata,Tunicata,0.714285714,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Zooplankton,Zooplankton,0.285714286,14,7,7,27
haw,Actinopterygii,Acanthuridae,Acanthurus thompsoni,Zooplankton,Zooplankton,0.285714286,14,7,7,27
haw,Actinopterygii,Labridae,Anampses cuvier,Algae,Benthic autotroph,0.25,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Amphipoda,Zooplankton,0.833333333,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Annelida,Worm,0.25,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Brachyura,Decapoda,0.25,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Echinoidea,Echinoidea,0.166666667,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Foraminifera,Foraminifera,0.333333333,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Isopoda,Zooplankton,0.25,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Tanaidacea,Zooplankton,0.25,12,12,0,31
haw,Actinopterygii,Labridae,Anampses cuvier,Tunicata,Tunicata,0.166666667,12,12,0,31
