"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Actinopterygii",0,0,0,0,1,0.142857142857143,0,0,0,0,0.620689655525565,0.082021488845788,0,0,0,1,0.324746538601529,0.063829787275164,0.218181818237355,0,0,0,0,0,0,0,0.103077594099767,0,0,0.666666666666667,0,0,0.030098137221755,0,0,0,0,0,0,0.252631578973961,0,0,0.0019148582748599,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430324745714585,0.00488832853245113,0,0,0.333333333333333,0,0,0,0,0,0,0.195770615534075,0,0,0.00915308536234027,0.168595873128342,0,0.109537650334704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999999712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286883165244139,0,0,0,0,0,0,0,0,0,0,0.0019148582748599,0,0,0.0396633698607601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267676085130555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00886977993268213,0,0,0,0,0.212293541204851,0.138565313175136,0,0,0.333333333333333,0,0,0,0,0,0,0.179329967810818,0.192307692307692,0.0815270138927871,0.142381327766079,0.140915953691058,0.166666666666667,0.106394484206971,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0.17518248174671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0.0102715321528628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566301333754177,0,0,0,0,0.00286883165244139,0.0122208213604578,0,0,0,0,0,0,0,0,0,0.00642989258946675,0,0,0.0569525310936171,0.0347257171767941,0.0833333333333333,0.0191631742685848,0.0138121546393578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116788321222868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172129898285834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213571991360796,0.0347257171767941,0,0.0321752061508222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116788321222868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0.0137522507244395,0,0,0,0,0.0532565385726697,0,0.290909090728595,0,0,0,0,0,0,0,0.0114232014472689,0,0,0,0,0,0.00418999587657812,0,0,0,0,0,0,0.210526315601108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286883165244139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711906637869319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291970803495125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925478629870831,0.16909914439545,0,0.0880086521386323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17518248174671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
