"","Abudefduf abdominalis","Abudefduf sordidus","Acanthurus thompsoni","Anampses cuvier","Apogon erythrinus","Arothron hispidus","Arothron meleagris","Atherinomorus insularum","Aulostomus chinensis","Brotula multibarbata","Cantherhines dumerilii","Cantherhines sandwichiensis","Canthigaster amboinensis","Canthigaster jactator","Caranx melampygus","Centropyge potteri","Cephalopholis argus","Chaetodon auriga","Chaetodon fremblii","Chaetodon kleinii","Chaetodon lunula","Chaetodon miliaris","Chaetodon multicinctus","Chaetodon ornatissimus","Chaetodon quadrimaculatus","Chaetodon unimaculatus","Chromis leucura","Chromis vanderbilti","Chromis verater","Cirrhitops fasciatus","Cirrhitus pinnulatus","Coris gaimard","Dascyllus albisella","Diodon holocanthus","Diodon hystrix","Exallias brevis","Fistularia petimba","Forcipiger flavissimus","Forcipiger longirostris","Gomphosus varius","Gymnomuraena zebra","Gymnothorax meleagris","Halichoeres ornatissimus","Hemitaurichthys thompsoni","Hemitaurichthys zoster","Heteropriacanthus cruentatus","Macropharyngodon geoffroy","Melichthys niger","Monotaxis grandoculis","Mulloidichthys flavolineatus","Myripristis amaena","Myripristis kuntee","Myripristis murdjan","Naso hexacanthus","Neoniphon sammara","Ostracion meleagris","Oxycheilinus orientalis","Paracirrhites arcatus","Paracirrhites forsteri","Parupeneus cyclostomus","Parupeneus forsskali","Parupeneus multifasciatus","Parupeneus porphyreus","Parupeneus trifasciatus","Pervagor spilosoma","Plectroglyphidodon imparipennis","Plectroglyphidodon johnstonianus","Plectroglyphidodon sindonis","Plectrypops lima","Pristiapogon kallopterus","Pristiapogon taeniopterus","Pseudocheilinus octotaenia","Pterois sphex","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron punctatissimum","Sargocentron tiere","Sargocentron xantherythrum","Scorpaenopsis cacopsis","Sebastapistes coniorta","Stegastes fasciolatus","Stethojulis balteata","Sufflamen bursa","Synodus variegatus","Thalassoma duperrey","Thalassoma trilobatum","Xanthichthys ringens","Zanclus cornutus"
"Actinopterygii",0.183206106870229,0,0.0816326531428571,0.0784313722168397,0,0,0,0,0.620689655525565,0.363636363636364,0,0,0,0,0.714285714285714,0,1,0,0,0.314685314542765,0.0499375780898721,0.230769230852071,0,0,0,0,0.4,0.137142857018253,0.219512195121951,0,0,0,0.126315789473684,0,0,0,1,0.0245700245700246,0.0769230762071006,0,0,0.333333333333333,0,0.315789473634349,0.226415094339623,0.312500000136719,0,0.0491803279027143,0,0,0.246575342576093,0.119999999703314,0.162162162720964,0.204545454545455,0.296296296576132,0,0.666666666666667,0.3125,0.8400000000504,0.896551724173603,0,0,0,0.276061776039229,0.0400000000736,0.133333333222222,0,0,0.222222222222222,0.2399999987328,0.115384616622781,0.285714285714286,0,0,0,0,0.125000000057292,0,0.5,0.133333333866667,0.222222221790123,0,0,1,0.0508474576753806,0.09999999965,0.0975609755669245,0
"Anthozoa",0,0,0,0,0,0,0.875,0,0,0,0.875,0.0769230769714004,0.187499999785156,0.115942028849401,0,0,0,0.139534883685235,0,0,0.0374531834051069,0,0.458333333295139,1,0.376068376151947,0.681818181543388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.113207547169811,0,0,0.0491803279027143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199999999888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966099626544,0,0,0
"Appendicularia",0.0458015267175573,0,0.204081632571429,0,0,0,0,0.115384615011834,0,0,0,0,0,0,0,0,0,0,0,0.0699300699838623,0,0.0769230769506903,0,0,0,0,0.3,0.274285714447935,0.292682926829268,0,0,0,0.378947368421053,0,0,0,0,0,0,0,0,0,0,0.0789473685270083,0.150943396226415,0,0,0,0,0,0,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0.115384615011834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170940169268756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983606558054286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444444446296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221402213801555,0,0,0,0.0975609755669245,0
"Ascidiacea",0,0,0,0.156862745374856,0,0,0,0,0,0,0,0.269230769130671,0.0312500000214844,0.173913043448015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.204545454605888,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311881188305632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315789472407756
"Asteroidea",0,0,0,0,0,0.206896551824019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0.0916030534351145,0,0,0,0,0,0.125,0,0,0,0.125,0.0769230769714004,0.0625000000429688,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454938017,0,0,0,0,0,0,0.0631578947368421,0,0.0294117645813149,0,0,0,0,0.1333333328,0,0,0,0,0.0377358490566038,0,0,0,0,0.323076922703077,0,0,0,0,0,0.125,0,0,0,0,0.0359281437125749,0,0,0,0,0,0,0,0,0,0,0,0,0.034653465332639,0.0299401194505002,0,0,0.114649680932776,0,0,0.111111111728395,0,0.154981549860351,0,0.101694915350761,0,0,0.252631579063047
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043478261,0.133333332897778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666484375,0,0,0,0,0.082191780475136,0,0.0810810806712929,0,0,0,0,0,0,0,0,0,0,0.120334620504477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.09999999965,0,0
"Echinoidea",0,0,0,0.156862745374856,0,0.344827585890606,0,0,0,0,0,0,0.125000000085938,0.115942028849401,0,0,0,0.186046511673337,0,0,0.0998751561797441,0,0,0,0,0,0,0,0,0,0.133333332897778,0.6,0,0.25,0.323529411806228,0,0,0.221130221130221,0,0,0,0,0.0681818182019628,0,0,0,0,0,0.24,0.0461538461861539,0,0,0,0,0,0,0,0,0,0,0.215568862275449,0,0,0,0.1199999999808,0,0,0,0,0,0,0.142857142857143,0,0.103960395997917,0.0299401194505002,0.173076923120192,0,0,0,0,0,0.0857142857142857,0.199261992620661,0,0.101694915350761,0,0,0
"Enteropneusta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
