"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Actinopterygii",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.141479099678457,0,0.106477373558119,0,0,0,0.285077951002227,0,0,0,0,0.0359558256998545,0,0,0,0,0.0280634546957962,0.0292636862067986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113454045381618,0,0,0,0,0,0,0,0.0528401585204756,0.0382712835199167,0,0.0820697818612254,0,0,0.130429510125803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878438331854481,0,0,0,0,0,0,0,0,0.032360243129869,0,0,0,0,0.0674155922955405,0.0110348483404803,0,0.0481933240771552,0.0585617240571562,0,0,0,0,0,0,0.425434213014235,0,0,0,0.71969696969697,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633010256296155,0.00207284443964823,0,0.00626513213003018,0.00234246896228625,0,0,0,0,0,0,0.00445692985062532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504633452610331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511254019293,0,0,0,0,0,0,0,0,0,0,0.00719116513997089,0,0,0,0,0.294930028579317,0.113640648103068,0,0.163857301862328,0.198231435933474,0,0,0,0.4,0,0,0.222846492531266,0,0.409024745269287,0.116006339144216,0.242424242424242,0,0.2,0.113454045381618,0,0,0,0,0,0,0,0.095112285336856,0.482947149179901,0,0.173609153937208,0,0.0767042847967703,0.078257706075482,0,0,0,0.307258064516129,0,0,0,0,0,0,0,0,0,0,0.0795119899032394,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267031136637037,0,0.00433739916694397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262409395357372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511254019293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101293860241485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112177463792728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.163987138263666,0,0.361135758651287,0,0,0.274329783327213,0.367483296213808,0,0,0,0,0.229466655252119,0,0,0,0,0.0261644239269077,0.0745085966031989,0,0.0149399304639181,0,0,0,0,0.6,0,0,0,0,0,0.063391442155309,0,0,0,0.103827641531057,0,0,0,0,0,0,0.21141975308642,0.0554821664464993,0,0,0.120605753151833,0,0,0.21925092859164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530079932688262,0,0,0,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375586085402385,0.0736469436204432,0,0.109880778895914,0.180955727336613,0,0,0,0,0,0,0,0,0.112809315866084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274304444395001,0.00524307711205142,0,0,0,0,0,0,0,0,0,0,0,0,0.020919175911252,0,0,0,0.0584460233784094,0,0,0,0,0,0,0,0.0290620871862616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11865422480952,0,0,0,0,0.0645670461422078,0.103764154008273,0,0.0886757163019656,0.17978449285547,0,0,0,0,0,0,0,0,0.140465793304221,0.169255150554675,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0.047556142668428,0.0510283780265556,0,0,0,0.0504633452610331,0.0711433691595291,0,0,0,0.0338709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511254019293,0,0.0266193433895297,0,0,0,0,0,0,0,0,0.0287646605598836,0,0,0,0,0.00833463504123271,0.119005657240981,0,0.106989179451285,0.01873975169829,0,0,0,0,0,0,0,0,0.0269286754002911,0.148335974643423,0,0,0,0.343800137520055,0,0,0,0,0,0,0.134259259259259,0.21664464993395,0.0182244207237699,0,0,0,0.177630975318837,0.0444646057247057,0,0,0,0.0145161290322581,0,0,0,0,0,0,0,0,0,0,0.0795119899032394,0,0,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426762090515813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21814175541682,0,0,0,0,0,0.192363667494221,0,0,0,0,0.0474757692222116,0.149610595732258,0,0.163375368621556,0.196767392832045,0,0,0,0,0,0,0.00445692985062532,0,0.176128093158661,0.169255150554675,0,0,0.133333333333333,0,0,0,0,0.244716351501669,0,0,0.0833333333333333,0.0264200792602378,0.0783650091122104,0,0.0726001916464686,0,0.201853381044133,0,0,0,0,0.0629032258064516,0,0,0,0,0,0,0,0,0,0,0.0795119899032394,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377696119590039,0.000609660129308304,0,0,0.00234246896228625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711433691595291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100015620494793,0.00134125228447827,0,0.0245785952793492,0.00761302412743031,0,0,0,0,0,0,0.101293860241485,0,0,0.020919175911252,0,0,0,0,0,0,0,0,0,0,0,0,0.00364488414475397,0,0,0,0,0,0,0,0,0.0145161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125845389949491,0,0,0,0,0.00126602051259231,0.0112177463792728,0,0.0173495966677759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164139563722451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166692700824654,0,0,0,0.0105411103302881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112376055820786,0,0,0,0,0,0,0,0,0,0,0.00358705811901155,0.0660871580170202,0,0.00963866481543104,0,0,0,0,0,0,0,0,0,0,0.041838351822504,0,0,0,0.113454045381618,0,0,0,0,0,0,0.277777777777778,0.145310435931308,0,0,0.0915393720759822,0,0.127167630057803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106015986537652,0,0,0,0,0
"Porifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516958375975193,0.0327997149567868,0,0.0486752573179268,0.0638322792223003,0,0,0,0,0,0,0.0575349126171632,0,0.0917030567685589,0.106497622820919,0,0,0,0,0,0,0,0,0,0,0,0,0.216870606612861,0,0.015782650357928,0,0,0,0,0,0,0.483870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337605470024616,0.00914490193962456,0,0.00626513213003018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290620871862616,0,0,0,0,0,0,0,0,0,0.0145161290322581,0,0,0,0,0,0,0,0,0,0,0.265039966344131,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239574090505768,0,0,0,0.173719376391982,0,0,0,0,0.032360243129869,0,0,0,0,0.00274304444395001,0.0160950274137392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726001916464686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
