"","Abudefduf sexfasciatus","Abudefduf vaigiensis","Acanthurus dussumieri","Acanthurus lineatus","Acanthurus nigrofuscus","Amblyglyphidodon curacao","Amblygobius albimaculatus","Amphiprion clarkii","Amphiprion frenatus","Amphiprion ocellaris","Arothron nigropunctatus","Asterropteryx semipunctata","Atrosalarias holomelas","Callogobius hasseltii","Chaetodon auriga","Chaetodon auripes","Chaetodon bennetti","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon lineolatus","Chaetodon lunula","Chaetodon plebeius","Chaetodon speculum","Chaetodon trifascialis","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Cheiloprion labiatus","Chlorurus sordidus","Chromis atripectoralis","Chromis caerulea","Chrysiptera brownriggii","Chrysiptera cyanea","Chrysiptera glauca","Chrysiptera rex","Coris variegata","Corythoichthys haematopterus","Ctenochaetus striatus","Dascyllus aruanus","Diodon liturosus","Epibulus insidiator","Epinephelus merra","Exallias brevis","Fowleria aurita","Fusigobius neophytus","Gnathodentex aureolineatus","Gobiodon citrinus","Gomphosus varius","Halichoeres marginatus","Halichoeres melanochir","Halichoeres melanurus","Halichoeres nebulosus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Heniochus chrysostomus","Labracinus cyclophthalmus","Labracinus melanotaenia","Labrichthys unilineatus","Labroides dimidiatus","Lethrinus genivittatus","Lutjanus fulviflamma","Macropharyngodon meleagris","Meiacanthus kamoharai","Naso sp","Nectamia fusca","Neoglyphidodon melas","Neoniphon sammara","Neosynchiropus ocellatus","Ostorhinchus aroubiensis","Ostorhinchus cookii","Ostorhinchus cyanosoma","Oxymonacanthus longirostris","Parapercis cylindrica","Parapercis hexophtalma","Parupeneus barberinus","Parupeneus spilurus","Parupeneus trifasciatus","Plectorhinchus diagrammus","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacentrus amboinensis","Pomacentrus chrysurus","Pomacentrus littoralis","Pomacentrus moluccensis","Pomachromis richardsoni","Pseudochromis tapeinosoma","Ptereleotris evides","Ptereleotris microlepis","Rhinecanthus aculeatus","Salarias fasciatus","Salarias luctuosus","Saurida gracilis","Scarus ghobban","Scarus oviceps","Scarus prasiognathos","Scarus psittacus","Scolopsis lineata","Scorpaenodes kelloggi","Siganus punctatus","Siganus spinus","Siganus virgatus","Sphyraena barracuda","Stegastes nigricans","Stethojulis bandanensis","Stethojulis strigiventer","Stethojulis trilineata","Thalassoma hardwicke","Thalassoma lunare","Upeneus tragula","Valenciennea longipinnis","Zanclus cornutus","Zebrasoma scopas","Zebrasoma veliferum"
"Actiniaria",0,0,0,0,0,0,0,0,0,0.141732283464567,0.0952380952380952,0,0,0,0.220377790497997,0.338983050847458,0,0.23146944083225,0,0.497512437810945,0.518950437317784,0,0,0,0,0.213414634146341,0,0,0,0,0,0,0,0.110831234256927,0,0.0399529964747356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699912510936133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700389105058366,0,0,0,0,0,0,0,0,0,0,0,0,0.171079429735234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262529832935561,0.0286493860845839,0,0,0.0131291028446389,0,0
"Actinopterygii",0,0.163498098859316,0,0,0,0.0357398141529664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.363636363636364,0,0,0,0.00863102373531527,0.0554156171284635,0,0,0,0,0,0,0.0266666666666667,0.0825688073394495,0.285714285714286,0.101382488479263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158671586715867,0.168765743073048,0,0.476190476190476,0.5,0.169761273209549,0,0,0,0,0,0,0,0,0,0,0,0.0299065420560748,0.0839160839160839,0,0.0555073720728534,0.0137931034482759,0,0,0,0,0,0,0.100492610837438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0657640232108317,0,0.0262295081967213,1,0.0416666666666667,0,0,0,0,0,0,0,0,0,0
"Algae",0.163156818646494,0.380228136882129,0.158948685857322,1,0.602888086642599,0.150107219442459,0.193050193050193,0.12568306010929,0.227513227513228,0.188976377952756,0.142857142857143,0.123304562268804,0.206611570247934,0,0.177447052089296,0.203389830508475,0.166666666666667,0.260078023407022,0.15015015015015,0.0845771144278607,0.128279883381924,0.201492537313433,0.2,0,0.0630630630630631,0.182926829268293,0,0,0,0.147619047619048,0.344827586206897,0.147161878065872,0.0884679932869815,0.279596977329975,0.194164456233422,0.156286721504113,0.220958570268075,0.01764941837144,0,0.126436781609195,0.183333333333333,0.0825688073394495,0,0.165898617511521,0.181818181818182,0,0.105087572977481,0.0764331210191083,0.167224080267559,0,0.0962809137247499,0.0195195195195195,0.0717410323709536,0.0359869138495093,0.0315955766192733,0,0.0299684542586751,0.5,0,0.110831234256927,0,0,0,0,0.111111111111111,0.266233766233766,0.833333333333333,0,0.178432462479155,0,0.0434699714013346,0,0,0,0.242424242424242,0.205607476635514,0,0,0.0138768430182134,0,0,0.152749490835031,0.0858085808580858,0.221311475409836,0,0.169465648854962,0.203940886699507,0.301675977653631,0.234375,0.285035629453682,0,0,0.184275184275184,0.068270844991606,0.119205298013245,0.172413793103448,0,0.280112044817927,0.333333333333333,0.3003003003003,0.333333333333333,0.0474516695957821,0.25,0.353965183752418,0.481481481481482,0.583606557377049,0,0.219298245614035,0.0690376569037657,0.04366373902133,0.0510948905109489,0.0262529832935561,0.110504774897681,0,0.0411271896420411,0.277899343544858,0.6,1
"Amphipoda",0,0,0,0,0,0.0274005241839409,0.055984555984556,0.034608378870674,0.0493827160493827,0,0.0952380952380952,0.0406905055487053,0.0144628099173554,0.125,0,0.0338983050847458,0,0,0,0,0,0,0,0,0,0.0304878048780488,0,0.037037037037037,0,0,0,0,0.0287700791177176,0,0.0588859416445623,0,0,0.0505415162454874,0.160932297447281,0,0.06,0.0825688073394495,0,0,0,0,0.0625521267723103,0.0955414012738854,0,0,0.0872191806683028,0.0848348348348348,0.0778652668416448,0.0905125408942203,0.129541864139021,0.133333333333333,0.10515247108307,0,0.0719557195571956,0.0554156171284635,0,0,0,0.103448275862069,0,0,0,0.253067484662577,0.0717065036131184,0,0.0646329837940896,0.25,0.119904076738609,0.230769230769231,0,0.0878504672897196,0.041958041958042,0.0265095729013255,0.173460537727667,0.096551724137931,0.122100122100122,0.0325865580448065,0,0.0327868852459016,0.0879396984924623,0.0519083969465649,0.0413793103448276,0,0.064453125,0,0.184210526315789,0,0,0.111919418019026,0.0176600441501104,0,0,0,0,0,0,0.0790861159929701,0,0,0,0.0590163934426229,0,0.0131578947368421,0.0658995815899582,0.0715181932245922,0.0736562707365627,0.0525059665871122,0.0818553888130969,0,0.083015993907083,0.0437636761487965,0,0
"Annelida",0.11899407074218,0.0532319391634981,0,0,0,0.0619490111984751,0.0714285714285714,0.0236794171220401,0,0.047244094488189,0,0,0.00826446280991736,0,0.141385231825987,0.0847457627118644,0,0.107932379713914,0.0990990990990991,0.0845771144278607,0.160349854227405,0,0,0,0,0.146341463414634,0,0.037037037037037,0,0,0,0,0.0388396068089187,0.0554156171284635,0.0275862068965517,0.0775558166862515,0.0454914703493095,0.0336943441636582,0,0,0.06,0.042535446205171,0,0,0,0,0.0316930775646372,0.186836518046709,0,0.0909090909090909,0.0651312063432131,0.0945945945945946,0.0358705161854768,0.0730643402399128,0.0179041600842549,0.0533333333333333,0.0452155625657203,0,0.0922509225092251,0,0,0,0,0,0,0.237012987012987,0,0.147239263803681,0.0700389105058366,0,0.100095328884652,0.25,0,0.111111111111111,0,0.0847352024922118,0.0629370629370629,0.215022091310751,0.03122289679098,0,0.0415140415140415,0.0325865580448065,0,0,0.0452261306532663,0.0396946564885496,0.0177339901477832,0.0460893854748603,0.033203125,0.0199524940617577,0.0526315789473684,0,0,0.0307778399552322,0,0,0,0,0,0,0,0.119507908611599,0,0.0657640232108317,0,0,0,0,0.0784518828451883,0.0511919698870765,0.0517584605175846,0.133651551312649,0.0552523874488404,0,0.0228484386900228,0,0,0
"Anomura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853242320819113,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0633774568792619,0,0,0.0133333333333333,0.0825688073394495,0.285714285714286,0.165898617511521,0,0,0,0.0233545647558386,0,0.181818181818182,0,0.0195195195195195,0.0244969378827647,0,0.118483412322275,0.0266666666666667,0.0304942166140904,0,0.131611316113161,0.16624685138539,0,0,0,0.103448275862069,0,0,0,0,0,0,0,0,0,0,0,0.0485981308411215,0.181818181818182,0.053019145802651,0.0485689505637468,0.206896551724138,0,0,0,0,0.0452261306532663,0,0.00886699507389162,0,0,0,0,0,0,0.0123111359820929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00752823086574655,0,0.0262529832935561,0.0286493860845839,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11443433029909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700389105058366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0.0236794171220401,0,0,0,0,0.00826446280991736,0,0,0,0,0.0286085825747724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227457351746548,0,0,0,0.0133333333333333,0,0,0,0,0,0.0216847372810676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285986653956149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251396648044693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627615062761506,0.0180677540777917,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0.0336943441636582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750750750750751,0.0332458442694663,0.0730643402399128,0.0537124802527646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148713060057197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301129234629862,0.0291970802919708,0.0262529832935561,0,0,0.0137090632140137,0,0,0
"Brachyura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170648464163823,0.111111111111111,0,0,0,0,0,0.0554156171284635,0,0.0775558166862515,0,0.142799839550742,0,0,0,0.0842368640533778,0.428571428571429,0.0691244239631336,0,0,0,0.0233545647558386,0,0.454545454545455,0.0351142155937323,0.0660660660660661,0.0874890638670166,0.0905125408942203,0.0726698262243286,0.0266666666666667,0.07465825446898,0,0.0787207872078721,0.16624685138539,0,0,0.25,0.350132625994695,0,0,0,0,0,0.4,0,0,0.239808153477218,0,0,0.0461059190031153,0.0839160839160839,0.0662739322533137,0.111882046834345,0.0551724137931035,0.122100122100122,0,0,0,0.148241206030151,0,0,0,0,0,0.0526315789473684,0,0,0.0872971460548405,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.0251046025104603,0.00752823086574655,0.0291970802919708,0.0930787589498807,0.11869031377899,0.333333333333333,0,0,0,0
