"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Actinopterygii",0,0,0,0,0.854945054945055,0.0483412322274882,0.166666666666667,0.538775510204082,0,0,0,0.137031765943443,0,0,0,0.453987159207221,0,0.0644461571188941,0,0.0886615515771526,0,0.116616415291132,0,0,0,0,0.0402106270943035,0,0,0,0,0.0336255948297971,0.0328893569241599,0.313384113166485,0.00821848526994563,0.0607746139571715,0,0,0,0.262321144674086,0,0,0,0,0,0.0198675496688742,0,0,0.00156738252094819,0,0,0,0,0,0,0,0.191489361702128,0.0195694716242661,0,0.818181818181818,0,0.0862533692722372,0,0.0489795918367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041476504635873,0,0,0,0,0,0,0,0,0,0,0.4174228093238,0.0174969623329283,0,0.0135099337748344,0.101819970486965,0,0.0607796110901021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041476504635873,0,0,0.00821848526994563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0,0,0,0,0,0,0,0,0,0,0.0259887831961703,0,0,0,0,0,0.0058587415562631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336107817924271,0.112257770334893,0,0.249715513971425,0.351791515405935,0,0,0,0,0,0,0.0625220430279906,0.230741190765492,0.992574257425743,0.046887417218543,0.101819970486965,0.157894736842105,0.167666391338097,0,0,0,0,0,0,0,0,0,0.704507512520868,0,0,0,0.239114391143911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0.0094504666167892,0,0,0,0,0,0,0,0,0,0.00897049348393321,0,0,0,0,0.0459550023934897,0,0,0,0,0.0103691261589683,0.0664639087842399,0,0.012643823492224,0.00133570580125652,0,0,0,0,0,0,0,0,0,0.101721854304636,0.0745204131824889,0.0526315789473684,0.0266455028561193,0,0,0,0,0,0,0,0,0,0.0200333889816361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024635761589404,0.0767338908017708,0,0.016196286049798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0.0511848341232227,0,0,0,0,0,0.0248074748690717,0,0,0,0.0130268912254583,0,0.00097645692604385,0,0.0136402387041773,0,0.0059803289892888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814717055347506,0.00205558480776,0,0,0.00467497030439781,0,0,0,0,0,0,0,0.059052247873633,0,0.0445033112582781,0.0059026069847516,0,0.0261230420158032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
