"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Apogonichthyoides timorensis","Archamia fucata","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Blenniella periophthalmus","Bothus pantherinus","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Ctenochaetus striatus","Dascyllus aruanus","Dascyllus trimaculatus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Fowleria aurita","Fusigobius neophytus","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Leiuranus semicinctus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scarus sp","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Thalassoma hardwicke","Thalassoma hebraicum","Vanderhorstia ornatissima","Zebrasoma flavescens"
"Achelata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485142510612493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actiniaria",0,0,0,0,0,0.194130925507901,0,0,0,0,0,0,0,0,0.00877834674469642,0,0,0,0,0,0,0,0,0.0376175548589342,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii",0,0.0555023923444976,0,0,0,0,0,0,0.0646551724137931,0.0375586854460094,0,0,0,0,0.0234089246525238,0,0.10738255033557,0,0,0.00479616306954436,0,0,0.781115879828326,0,0,0,0,0,0,0,0.134146341463415,0.115044247787611,0,0,0,0.0108754758020663,0,0.0144014401440144,0,0,0.692307692307692,0.385964912280702,0,0,0,0,0,0.0711111111111111,0,0.285714285714286,0,0,0.333333333333333,0.6,0.274725274725275,0.25,0.288910505836576,0,0,0.0312907431551499,0,0,0,0.235714285714286,0.0858585858585859,0,0.0141043723554302,0,0.0398009950248756,0,0,0,0.309859154929577,0,0,0,0,0.0454545454545455,0,0.109090909090909,0,0.0726495726495727,0,0.0897513644633111,0,0.0711462450592885,0,0.00727272727272727,0.0975609756097561,0,0.00933488914819136,0,0,0.0612691466083151,0,0,0.0246478873239437,0.0444697833523375,0,0,0.627586206896552,0,0,0.0572855010551238,0.108144192256342,0,0,0,0.0516431924882629,0.0574090394057661,0,0.0467836257309941,0,0,0,0,0.254545454545455,0,0,0,0.0098065922092073,0.849557522123894,0,0,1,0,0.0559006211180124,0.0588235294117647,0,0,0,0.0033167495854063,0.0107655502392345,0,0.860262008733624,0.0737179487179487,0.0285343709468223,0.0434782608695652,0
"Algae",0.177464788732394,0.151196172248804,0.924528301886792,0,0.16025641025641,0.388261851015801,0.305033045246568,0.375314861460957,0,0,0,0.0568475452196382,0.0476190476190476,0.167721518987342,0.0731528895391368,0.258536585365854,0,0.186440677966102,0.123032904148784,0.149480415667466,0.168181818181818,0.240384615384615,0,0.0125391849529781,0.147018030513176,0,0,0,0.016,0,0,0,0.574712643678161,0.246679316888046,0.0609137055837563,0.0489396411092985,0.420118343195266,0.352835283528353,0.326612903225806,0.18672739102147,0,0,0,0,1,0.162903470222761,0.149692937563971,0,0.118681318681319,0,0,0,0,0,0,0,0,0.0573476702508961,0,0,0.0226415094339623,0.175257731958763,0,0,0,0,0,0.0103896103896104,0,0,0.476190476190476,0.142857142857143,0,0,0,0.361842105263158,0,0,0,0,0,0,0,0,0,0,0,0.127272727272727,0,0,0,0.107142857142857,0,0,0,0,0,0,0.118764845605701,0.354216867469879,0,0,0.260606060606061,0.214009985073859,0,0.157728706624606,0.238663484486873,0.190740740740741,0.156494522691706,0.22888077552562,0,0,0,0,0,0,0,0,0.469648562300319,0.241071428571429,0.0196131844184146,0,1,0,0,0,0,0,0.54320987654321,0.367647058823529,0,0,0.0107655502392345,0,0,0.00961538461538461,0.0103761348897536,0,1
"Amphipoda",0.00845070422535211,0.030622009569378,0,0,0.15224358974359,0.0632054176072235,0,0.0453400503778338,0.0797413793103448,0.244131455399061,0.036091870215093,0.0956072351421189,0.142857142857143,0.167721518987342,0.077542062911485,0.00975609756097561,0.223713646532438,0,0.143061516452074,0.0975219824140687,0.0386363636363636,0.163461538461538,0,0.0438871473354232,0.188626907073509,0,0,0,0.03,0.122241086587436,0.158536585365854,0.084070796460177,0,0.015180265654649,0,0.0598151169113649,0.0769230769230769,0,0.0443548387096774,0.0247234873129473,0,0.0842105263157895,0.18475073313783,0.200534759358289,0,0.0727382936808607,0.0537359263050153,0.208888888888889,0.21978021978022,0.142857142857143,0,0.3,0,0,0,0,0,0.197132616487455,0.335748792270531,0.105606258148631,0.294339622641509,0.191752577319588,0.188747731397459,0,0,0.0225563909774436,0.157968970380818,0.187012987012987,0.109452736318408,0.395833333333333,0,0.21978021978022,0,0,0,0,0.270491803278689,0.0181818181818182,0,0.0694214876033058,0.0574067964368195,0.0726495726495727,0,0.151607034566404,0.290385873119686,0.0118577075098814,0.277777777777778,0.169090909090909,0.146341463414634,0.215456674473068,0.200700116686114,0.142857142857143,0.257575757575758,0.144420131291028,0.125,0.270676691729323,0.176056338028169,0.164196123147092,0.105700712589074,0.183132530120482,0.0620689655172414,0.146886016451234,0.0181818181818182,0.0302640382932729,0.11214953271028,0.157728706624606,0.0787589498806683,0.0259259259259259,0.0446009389671361,0.028704519702883,0.331306990881459,0.154970760233918,0.221238938053097,0.432900432900433,0.099009900990099,0.205882352941176,0,0.22015503875969,0,0.0491071428571429,0.070280577499319,0,0,0.0769230769230769,0,0,0.226708074534162,0.172794117647059,0.0864197530864198,0.0992647058823529,0.216279069767442,0.139303482587065,0.119617224880383,0,0,0.128205128205128,0.166018158236057,0.439613526570048,0
"Annelida",0,0.105263157894737,0,0,0.0368589743589744,0,0,0.0100755667506297,0.135775862068966,0.230046948356808,0.0710900473933649,0.0956072351421189,0,0.0284810126582278,0.0921726408193124,0,0.0134228187919463,0,0,0.0303756994404476,0.0545454545454545,0,0,0.146551724137931,0.109570041608877,0.0357142857142857,0,0,0.092,0.0237691001697793,0.0365853658536585,0.0265486725663717,0,0,0,0,0.0473372781065089,0.063006300630063,0.102822580645161,0,0,0.0385964912280702,0.155425219941349,0,0,0,0.107471852610031,0.186666666666667,0.118681318681319,0,0.238095238095238,0.079746835443038,0,0,0,0,0.0291828793774319,0.0752688172043011,0.0434782608695652,0.0234680573663625,0.271698113207547,0.0680412371134021,0.148820326678766,0,0.101010101010101,0.0350877192982456,0.0535966149506347,0.116883116883117,0,0,0,0.0769230769230769,0,0,0,0,0.549180327868853,0.354545454545455,0.513513513513513,0.0743801652892562,0.130649950511382,0.141025641025641,0.698564593301435,0.130988477865373,0.184434270765206,0.0632411067193676,0.148148148148148,0.134545454545455,0.204268292682927,0.220140515222482,0.240373395565928,0,0.0909090909090909,0.102844638949672,0,0.150375939849624,0.151408450704225,0.287343215507412,0.0308788598574822,0.00963855421686747,0.0620689655172414,0.136310223266745,0.0363636363636364,0.0248597457409028,0.184245660881175,0,0.0262529832935561,0.0555555555555556,0,0.0634520961853204,0.145896656534954,0.105263157894737,0.0575221238938053,0.0952380952380952,0,0.0294117647058824,0,0.198449612403101,0,0,0.183056387905203,0,0,0.0615384615384615,0,0,0.031055900621118,0.0404411764705882,0,0.0183823529411765,0.183720930232558,0.0812603648424544,0.119617224880383,0,0,0.137820512820513,0.171206225680934,0.0821256038647343,0
"Anomura",0,0,0,0,0,0,0,0,0,0,0.01093693036821,0.0378983634797588,0,0.00949367088607595,0.00658376005852231,0,0.0402684563758389,0,0,0.00719424460431655,0.00681818181818182,0,0,0,0,0,0,0,0,0.0492359932088285,0.048780487804878,0.0265486725663717,0,0,0,0,0,0,0,0,0,0,0.0542521994134897,0,0,0,0,0,0.0505494505494506,0,0,0.0189873417721519,0.0833333333333333,0,0,0,0.0311284046692607,0,0.0434782608695652,0.0886571056062581,0.0226415094339623,0.0206185567010309,0.0272232304900181,0.146428571428571,0,0.102756892230576,0.07475317348378,0.0350649350649351,0.119402985074627,0,0,0.10989010989011,0,0,0,0,0,0.0181818181818182,0,0.0247933884297521,0.0250742329264269,0,0,0.0121285627653123,0,0.106719367588933,0,0.00727272727272727,0.0121951219512195,0.0515222482435597,0.00622325943212758,0,0.0151515151515152,0.183807439824945,0,0.00601503759398496,0.0757042253521127,0.023945267958951,0,0,0,0.0587544065804935,0,0,0.0240320427236315,0,0,0,0.0109546165884194,0,0.0851063829787234,0.0847953216374269,0,0.0476190476190476,0,0.0588235294117647,0.0590909090909091,0,0,0,0.061018795968401,0,0,0.146153846153846,0,0,0,0.0514705882352941,0,0,0,0.00746268656716418,0.0215311004784689,0,0,0.0224358974358974,0.0220492866407263,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046594982078853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187793427230047,0.00604305677955432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0.00382775119617225,0,0,0.00801282051282051,0,0,0,0,0,0.039372949325556,0.0568475452196382,0,0,0.0409656181419166,0,0,0,0.0815450643776824,0,0,0,0,0,0,0,0,0,0,0.108658743633277,0,0,0,0.00759013282732448,0.0355329949238579,0.0598151169113649,0,0,0,0,0,0,0.13782991202346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226415094339623,0.0103092783505155,0,0,0,0.0576441102756892,0.078984485190409,0.0727272727272727,0,0,0,0,0.0422535211267606,0,0,0,0,0,0,0.00495867768595041,0.00791817881887166,0,0,0.00970285021224985,0,0,0,0.00727272727272727,0,0,0,0.0357142857142857,0,0,0,0.00601503759398496,0.0246478873239437,0,0.0522565320665083,0.00963855421686747,0,0,0.0363636363636364,0,0,0,0,0.0259259259259259,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0,0.0116086235489221,0.119617224880383,0,0,0,0.0337224383916991,0,0
"Brachyura",0,0,0,0,0,0,0,0,0,0,0.205614290922348,0.0568475452196382,0,0,0.0965618141916606,0,0.317673378076063,0,0.0200286123032904,0,0,0,0,0,0,0,0,0,0,0.268251273344652,0.24390243902439,0.132743362831858,0,0,0,0,0,0,0,0,0.0769230769230769,0.224561403508772,0.19941348973607,0,0,0,0,0,0,0,0.666666666666667,0,0.416666666666667,0.2,0.412087912087912,0.25,0.326848249027237,0.00716845878136201,0.0628019323671498,0.172099087353325,0,0.00618556701030928,0.362976406533575,0.146428571428571,0.429292929292929,0.182957393483709,0.118476727785614,0.161038961038961,0.199004975124378,0,0,0.021978021978022,0,0,0,0,0.0901639344262295,0.290909090909091,0.045045045045045,0.416528925619835,0.122731771692511,0.354700854700855,0.0287081339712919,0.0206185567010309,0,0.254940711462451,0.185185185185185,0.0345454545454545,0.0426829268292683,0,0.102683780630105,0,0.136363636363636,0.212253829321663,0.5,0.102255639097744,0.125,0.00684150513112885,0,0,0,0.156286721504113,0,0.0432343404189613,0.128170894526035,0.026813880126183,0.0262529832935561,0,0,0,0.139817629179331,0.14327485380117,0.0132743362831858,0.155844155844156,0.267326732673267,0.117647058823529,0.340909090909091,0.133333333333333,0,0,0.14709888313811,0,0,0.173076923076923,0,0.45,0.388198757763975,0.125,0.0123456790123457,0,0,0.0315091210613599,0.0873205741626794,0,0,0.0961538461538461,0.103761348897536,0,0
