"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Apogonichthyoides timorensis","Archamia fucata","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Blenniella periophthalmus","Bothus pantherinus","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Dascyllus aruanus","Dascyllus trimaculatus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Fowleria aurita","Fusigobius neophytus","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Thalassoma hardwicke","Thalassoma hebraicum","Vanderhorstia ornatissima"
"Actinopterygii",0.119850187265918,0.131351266320591,0,0,0,0.0979020979020979,0.0958837772397094,0,0.120206067544362,0.0867992766726944,0,0,0,0,0.0395876288659794,0,0.39344262295082,0,0,0.00991735537190083,0.0123839009287926,0,0.855799373040752,0.12210633426609,0,0.0666666666666667,0,0,0,0,0.247747747747748,0.315972222222222,0,0,0.135737009544008,0.134433962264151,0.204724409448819,0.148698884758364,0.0741714886901631,0,0.818181818181818,0.69620253164557,0,0.0424528301886792,0.151057401812689,0.143636885952313,0.128686327077748,0,0.545454545454545,0,0.0337457817772778,0.6,0.75,0.547045951859956,0.4,0.553691275167785,0.0291120815138282,0,0.134831460674157,0,0,0,0.572254335260116,0.12,0,0.0293470286133529,0,0.35,0,0,0,0.176848874598071,0.018018018018018,0,0,0.0757575757575758,0,0.281941747572815,0,0.177083333333333,0,0.199580461492358,0.140812821980538,0.222986923606332,0,0.0122824974411464,0.193939393939394,0,0.0237623762376238,0,0,0.16247582205029,0,0,0.0575342465753425,0.0789183222958057,0,0.0769230769230769,0.669117647058823,0,0.075,0.117145899893504,0.230637813211845,0,0,0.227118644067797,0.0772433342191514,0.112299465240642,0,0.166018158236057,0,0.079646017699115,0,0,0.512820512820513,0,0,0,0.0213143872113677,0.849557522123894,0,1,0,0.193317422434368,0.200278164116829,0,0.25,0,0.00771902740254728,0.0176125244618395,0,0.860262008733624,0.123789020452099,0.0503432494279176,0.0818181818181818
"Anthozoa",0,0,0,1,0,0.300699300699301,0,0,0,0,0,0,0.23728813559322,0,0.0420618556701031,0,0,0,0.0392156862745098,0.158677685950413,0.0412796697626419,0.0181818181818182,0,0.294072755024167,0.193627450980392,0.866666666666667,1,1,0.329228775113415,0,0,0,0,0,0,0,0.047244094488189,0.0817843866171004,0.0568122041031036,0,0,0,0,0,0.0274649821477616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556199304750869,0,0,0,0.46875,0.0415335463258786,0,0.0581196581196581,0,0,0.00850385330853043,0.0641711229946524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0
"Appendicularia",0,0.18247601069687,0,0,0,0,0.0493946731234867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963302752293578,0.0763520678685048,0.117924528301887,0,0,0.0126249342451341,0,0,0,0,0,0.0769019500137325,0.166618787704683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952256376716808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775976614403402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756914119359534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255115599255913,0.0128342245989305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ascidiacea",0,0.0629227623092654,0,0,0,0.202797202797203,0.193220338983051,0,0,0,0,0.182356423919479,0,0,0.138556701030928,0,0,0,0.240896358543417,0.320661157024793,0.272445820433437,0.2,0,0.0712286949885525,0.0343137254901961,0,0,0,0.0311082307193778,0,0,0,0,0.238532110091743,0.0212089077412513,0.00943396226415094,0,0.297397769516729,0.192530247238296,0,0,0,0,0,0.140071408953584,0.120654984199943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0.231749710312862,0.021978021978022,0,0,0,0.159744408945687,0,0.341880341880342,0.305084745762712,0.23728813559322,0.15519532288068,0.192513368983957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0.142857142857143,0,0,0.161463939720129,0.0869565217391304,0
"Bivalvia",0,0.00629227623092654,0,0,0.0159642401021711,0,0,0,0,0,0.134203168685927,0.156305506216696,0,0,0.0692783505154639,0,0,0,0.159663865546218,0,0,0,0,0,0,0,0,0,0,0.1947261663286,0,0,0,0.0091743119266055,0.0296924708377519,0.0518867924528302,0,0,0,0,0,0,0.275929549902153,0,0.00823949464432848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422535211267606,0.0229007633587786,0,0,0,0.105343511450382,0.164343360234776,0.155844155844156,0,0,0,0,0.0385852090032154,0,0,0,0,0,0.0128155339805825,0.0136036625245258,0,0,0.021576266107282,0,0,0,0.0122824974411464,0,0,0,0.0714285714285714,0,0,0,0.0192539109506619,0.0575342465753425,0,0.101969872537659,0.021978021978022,0,0,0.075,0,0,0,0,0.023728813559322,0,0,0,0,0,0,0,0.11864406779661,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.0270165959089155,0.195694716242661,0,0,0,0.0594965675057208,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243055555555556,0,0,0,0.0235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111856823266219,0,0,0,0,0,0,0,0.127058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025631067961165,0,0,0,0.0566376985316152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121412803532009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841237113402062,0,0,0,0,0.0859504132231405,0.0701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125984251968504,0.0148698884758364,0.0126249342451341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641221374045802,0,0.038961038961039,0,0,0,0,0,0.864864864864865,0,0,0,0,0.025631067961165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926998841251448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125244618395303,0,0,0.0161463939720129,0,0
"Gastropoda",0.0149812734082397,0.0283152430391694,0,0,0.233077905491699,0,0.0493946731234867,0,0,0,0.253494874184529,0.208407341622262,0.203389830508475,0.145454545454545,0.138556701030928,0.0398230088495575,0.0983606557377049,1,0.159663865546218,0.117355371900826,0.140350877192982,0,0,0.0305265835665225,0,0,0,0,0.178872326636423,0.456389452332657,0.45045045045045,0,1,0,0.0127253446447508,0,0.078740157480315,0.0148698884758364,0.10731194108364,0.642335766423358,0,0,0.108610567514677,0.0141509433962264,0.0466904696511947,0.0948003447285263,0.128686327077748,0.169398907103825,0,0,0.141732283464567,0,0,0,0,0.0559284116331096,0.0116448326055313,0.0189473684210526,0.0674157303370786,0.0422535211267606,0.0229007633587786,0.268041237113402,0,0.112941176470588,0.393893129770992,0.393250183418929,0.130797773654917,0,0.0819672131147541,0,0.0263157894736842,0.0385852090032154,0.0810810810810811,0.588235294117647,0,0.166666666666667,0.216730038022814,0.0598058252427184,0.0527141922825376,0,0,0.010788133053641,0.0206067544361763,0.0557467309015829,0.291666666666667,0.0921187308085977,0.0242424242424242,0,0.0712871287128713,0.142857142857143,0.2,0.16247582205029,0.3,0.0481347773766546,0.0575342465753425,0.00607064017660044,0.120509849362688,0.0879120879120879,0.0661764705882353,0.285021224984839,0,0.115015974440895,0.0911161731207289,0.112820512820513,0.0508474576271186,0.0508474576271186,0.0212596332713261,0.0385026737967914,0,0.0415045395590143,0.146520146520147,0.106194690265487,0,0.355932203389831,0.119047619047619,0.0810810810810811,0.2,0.0857142857142857,0.0976909413854352,0,0.16969696969697,0,0,0,0,0.36,0.0347222222222222,0.011166253101737,0.181397143959861,0.142857142857143,0,0,0.177610333692142,0.205949656750572,0.0818181818181818
"Hexanauplia",0.409488139825218,0.171464527292748,0,0,0.290549169859515,0.202797202797203,0.290556900726392,0.4,0.400686891814539,0.0867992766726944,0,0,0.203389830508475,0.357575757575758,0.116288659793814,0.451327433628319,0.0983606557377049,0,0,0.0330578512396694,0.0412796697626419,0.127272727272727,0,0,0,0,0,0,0,0,0,0,0,0.389908256880734,0.312831389183457,0.438679245283019,0.21259842519685,0.282527881040892,0.231457127827459,0.165450121654501,0,0,0.0645792563600783,0.443396226415094,0.232079099148586,0.147945992530882,0,0.0819672131147541,0,0,0.391451068616423,0,0,0,0,0,0.471615720524018,0,0,0.197183098591549,0.380152671755725,0.0412371134020619,0,0,0.0412213740458015,0.0528246515040352,0.038961038961039,0,0.0819672131147541,0.666666666666667,0.263157894736842,0.212218649517685,0.036036036036036,0.411764705882353,0,0,0,0,0.312884238064094,0,0,0.129457596643692,0.212936462507155,0,0,0.171954964176049,0.2,0.345869711215581,0.0356435643564356,0.142857142857143,0.12,0,0,0.0962695547533093,0.115068493150685,0.157836644591611,0.0347624565469293,0.263736263736264,0.0661764705882353,0,0.2125,0.20234291799787,0,0.0581196581196581,0.152542372881356,0.325423728813559,0.141730888475507,0.181818181818182,0,0.0207522697795071,0.637362637362637,0,0,0.177966101694915,0,0,0.3,0.0857142857142857,0.0461811722912966,0,0,0,0,0,0,0,0.284722222222222,0.361042183622829,0.324199150906986,0.0176125244618395,0,0,0.161463939720129,0.0091533180778032,0.2
