"","Abudefduf sordidus","Acanthurus achilles","Acanthurus gahhm","Acanthurus lineatus","Acanthurus nigricans","Acanthurus nigroris","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Ctenochaetus striatus","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso lituratus","Naso unicornis","Neomyxus chaptalii","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis cephalopunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata","Zebrasoma veliferum"
"Actinopterygii",0.166666666666667,0,0,0,0,0,0,0,0.5,0,0,0,0,0.132841328413284,0.0932475884244373,0,0,0.209541627689429,0.0465116279069767,1,0.25,0.428571428571429,0,0,0,0,0,0,0,0.250965250965251,0.293269230769231,0,0,0,0.127962085308057,0.0806451612903226,0.125,0.166666666666667,0,0,0,0,0.0731021555763824,0.252525252525253,0.333333333333333,0.8,0.46583850931677,0.172413793103448,1,0.111111111111111,0,0,0,0.0714285714285714,0.111940298507463,0.6,1,0.6,0.181818181818182,0,0.0378548895899054,0,0,0.0363636363636364,0,0,0.1796875,0,0,0.0942760942760943,0.24896265560166,0.423423423423423,0,0.2,0.29940119760479,0.056140350877193,0.120879120879121,0,0,0.0714285714285714,0.21875,0,0,0,0,0,0,0,0,0.208542713567839,0.0647773279352227,0.361904761904762,0.69811320754717,0,0.206161137440758,0,0.130434782608696,0.168302945301543,0.0603015075376884,0.222222222222222,0,0.2,0.203703703703704,0.267716535433071,0,0.153846153846154,0.117647058823529,0.25,0.27979274611399,0,0.111111111111111,0,0.0335195530726257,0,0,0.116129032258065,0,0.263736263736264,1,0,1,0.162679425837321,0,0,0,0.190140845070423,0.107142857142857,0,0,1,0.157894736842105,0,0.202797202797203,0.3,0.6,0,0,0.0204220558202859,0
"Algae",0.204545454545455,1,0.819672131147541,1,1,1,0.671140939597315,0.714285714285714,0,0,0,0,0,0.177121771217712,0.067524115755627,0.416666666666667,0.178714859437751,0,0.627906976744186,0,0,0,0.11336032388664,0.133333333333333,0.384615384615385,0,0.25,0,0,0.0463320463320463,0,0.245454545454545,0.0189873417721519,0,0.445497630331754,0.5,0.302083333333333,0,0.304347826086956,0,0.0457317073170732,1,0.15182755388941,0,0,0,0,0,0,0,0.153846153846154,0,0,0.0714285714285714,0,0,0,0,0,0.0923913043478261,0,0.0769230769230769,0.166666666666667,0,0,0,0,0,0,0,0,0,0.0188172043010753,0,0,0,0,0,0,0,0,0,0.0637450199203187,1,1,0.25,0,0.125,0,0,0.133603238866397,0,0,0,0,0,0,0,0,0.555555555555556,0.5625,0.264,0,0,0,0.0923076923076923,0.529411764705882,0,0,0,0,0,0.23463687150838,0.309608540925267,0,0,0,0,0,0.419642857142857,0,0,0.714285714285714,0,0.816793893129771,0.725352112676056,0.892857142857143,0.0546875,0.0454545454545455,0,0,0.173913043478261,0.0559440559440559,0,0,0,0,0,1
"Amphipoda",0.0378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121608980355472,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0.03125,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0.0188172043010753,0,0.197604790419162,0,0,0,0,0,0,0,0.0637450199203187,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.108695652173913,0.0336605890603086,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361990950226244,0,0
"Annelida",0.121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221864951768489,0,0,0,0.0465116279069767,0,0.1875,0,0.37246963562753,0.0833333333333333,0.0769230769230769,0,0,0.109677419354839,0,0,0,0,0,0,0.127962085308057,0.0806451612903226,0.03125,0.166666666666667,0,0,0,0,0,0,0,0.2,0,0,0,0.111111111111111,0,0.25,0.182481751824818,0,0,0,0,0,0,0.179347826086957,0.16403785488959,0.230769230769231,0.25,0.0181818181818182,0,0.1,0.08984375,0,0,0,0,0.234234234234234,0.123655913978495,0,0,0.056140350877193,0.0549450549450549,0,0.0549019607843137,0.428571428571429,0.0703125,0,0.127490039840637,0,0,0,0,0.125,0,0,0.202429149797571,0,0,0,0,0.29,0,0.0336605890603086,0.130653266331658,0,0,0,0,0,0.139130434782609,0,0.0588235294117647,0.25,0,0,0,0,0.074487895716946,0.0854092526690391,0.278787878787879,0.0387096774193548,0,0,0,0,0,0,0,0.055045871559633,0,0,0,0.23828125,0.0454545454545455,0,0,0.0869565217391304,0,0,0,0,0.0361990950226244,0,0
"Anomura",0,0,0,0,0,0,0,0,0,0,0,0,0,0.022140221402214,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0.0463320463320463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919540229885057,0,0,0,0,0,0,0,0,0,0,0,0.0923913043478261,0,0,0,0.503030303030303,0,0,0,0,0,0,0,0,0,0,0,0.056140350877193,0,0,0.109803921568627,0,0.0703125,0,0.0637450199203187,0,0,0,0,0,0,0,0,0.323809523809524,0,0,0.0568720379146919,0,0.108695652173913,0.0336605890603086,0,0,0,0,0.160493827160494,0.200787401574803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0.0378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0.0378787878787879,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.029520295202952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463320463320463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0.0923913043478261,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27843137254902,0,0.109375,0,0,0,0,0,0,0,0,0,0.0647773279352227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223463687150838,0,0.0848484848484849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0869565217391304,0,0,0,0,0.0113122171945701,0.0204220558202859,0
"Brachyura",0.121212121212121,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.166051660516605,0.289389067524116,0,0,0.182413470533209,0,0,0,0.142857142857143,0.0242914979757085,0,0,0,0,0,0.142857142857143,0.308880308880309,0.173076923076923,0,0,0,0,0,0.0625,0.166666666666667,0,0,0,0,0,0.252525252525253,0.333333333333333,0,0.15527950310559,0.367816091954023,0,0.444444444444444,0,0,0,0.285714285714286,0.597014925373134,0.4,0,0.4,0.272727272727273,0,0.0599369085173502,0,0,0.0727272727272727,0,0,0.04296875,0.6,0,0,0.12448132780083,0,0,0,0.29940119760479,0.312280701754386,0.296703296703297,0,0.109803921568627,0,0.0703125,0,0.294820717131474,0,0,0,0.5,0.25,0,0.298994974874372,0.0647773279352227,0.123809523809524,0,0,0.33175355450237,0.055,0.217391304347826,0.122019635343619,0.231155778894472,0,0,0,0.240740740740741,0.330708661417323,0.28695652173913,0,0,0.5,0.227979274611399,0,0.222222222222222,0.757575757575758,0.0968342644320298,0.0854092526690391,0.23030303030303,0.541935483870968,0,0.472527472527473,0,0,0,0,0,0,0,0,0,0.0546875,0,0,0.315789473684211,0.173913043478261,0.391608391608392,0.4,0.2,0.5,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745341614906832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328125,0,0,0,0,0,0,0,0,0.056140350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603015075376884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copepoda",0,0,0,0,0,0,0,0.0680272108843537,0,0,0,0,0,0,0,0,0.112449799196787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403481012658228,0.363636363636364,0.0568720379146919,0,0,0,0,0.602409638554217,0,0,0.278350515463918,0,0,0,0,0,0,0,0.384615384615385,0,0.364963503649635,0,0,0,0,0,0,0,0,0.230769230769231,0.166666666666667,0.0181818181818182,0,0.1,0,0,0.761904761904762,0.188552188552189,0.24896265560166,0,0.225806451612903,0.6,0,0,0,0,0,0,0.0703125,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.04,0,0.0841514726507714,0.0603015075376884,0,0.159090909090909,0.264,0,0.200787401574803,0,0.323076923076923,0.117647058823529,0,0.0518134715025907,0.380952380952381,0,0,0,0.0854092526690391,0,0,0,0,0,0,0,0,0,0.467889908256881,0,0,0,0.0859375,0.136363636363636,0,0.157894736842105,0,0,0,0,0,0.226244343891403,0.111640571817563,0
