"","Abudefduf sordidus","Acanthurus achilles","Acanthurus gahhm","Acanthurus lineatus","Acanthurus nigricans","Acanthurus nigroris","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Ctenochaetus striatus","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso lituratus","Naso unicornis","Neomyxus leuciscus","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis millepunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata","Zebrasoma velifer"
"Actinopterygii",0.188841201716738,0,0,0,0,0,0,0,0.5,0,0,0,0,0.15929203539823,0.125269978401728,0,0,0.241900647948164,0.0487804878048781,1,0.25,0.642857142857143,0,0,0,0,0,0,0,0.398773006134969,0.4,0,0,0,0.152542372881356,0.0806451612903226,0.169014084507042,0.25,0,0,0,0,0.154237288135593,0.403225806451613,0.5,0.8,0.534441805225653,0.272727272727273,1,0.111111111111111,0,0,0,0.111111111111111,0.15625,0.6,1,0.6,0.181818181818182,0,0.0537313432835821,0,0,0.08,0,0,0.197934595524957,0,0,0.11864406779661,0.314685314685315,0.486206896551724,0,0.3,0.374531835205993,0.0867208672086721,0.212903225806452,0,0,0.0714285714285714,0.277227722772277,0,0,0,0,0,0,0,0,0.297491039426523,0.0647773279352227,0.608,0.69811320754717,0,0.327067669172932,0,0.210526315789474,0.294117647058824,0.0895522388059701,0.222222222222222,0,0.311203319502075,0.298372513562387,0.364611260053619,0,0.285714285714286,0.146341463414634,0.25,0.445054945054945,0,0.230769230769231,0,0.0398230088495575,0,0,0.201492537313433,0,0.263736263736264,1,0,1,0.162679425837321,0,0,0,0.190140845070423,0.107142857142857,0,0,1,0.28169014084507,0,0.271028037383178,0.454545454545455,0.6,0,0,0.0478468899521531,0
"Anthozoa",0,0,0,0,0,0,0,0.0680272108843537,0,0,1,0.714285714285714,0,0.141592920353982,0,0,0,0,0.0487804878048781,0,0,0,0.324324324324324,0.783333333333333,0.461538461538462,1,0.75,0,0,0,0,0.754545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265486725663717,0,0,0,0,0,0,0.580357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.0747663551401869,0,0,0,0,0,0
"Arachnida",0.0429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.231759656652361,1,0.819672131147541,1,1,1,0.671140939597315,0.714285714285714,0,0,0,0,0,0.212389380530973,0.0907127429805616,0.416666666666667,0.201357466063348,0,0.658536585365854,0,0,0,0.162162162162162,0.133333333333333,0.384615384615385,0,0.25,0,0,0.0736196319018405,0,0.245454545454545,0.0452488687782805,0,0.531073446327684,0.5,0.408450704225352,0,0.304347826086956,0,0.0457317073170732,1,0.320338983050847,0,0,0,0,0,0,0,0.24,0,0,0.111111111111111,0,0,0,0,0,0.0923913043478261,0,0.105263157894737,0.2,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0.10126582278481,1,1,0.25,0,0.125,0,0,0.133603238866397,0,0,0,0,0,0,0,0,0.555555555555556,0.638709677419355,0.410788381742739,0,0,0,0.171428571428571,0.658536585365854,0,0,0,0,0,0.278761061946903,0.375,0,0,0,0,0,0.419642857142857,0,0,0.714285714285714,0,0.816793893129771,0.725352112676056,0.892857142857143,0.0846652267818574,0.0709219858156028,0,0,0.210526315789474,0.0747663551401869,0,0,0,0,0,1
"Bivalvia",0.0429184549356223,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.0353982300884956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736196319018405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0.0923913043478261,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312775330396476,0,0.138613861386139,0,0,0,0,0,0,0,0,0,0.0647773279352227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265486725663717,0,0.101941747572816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354609929078014,0,0,0.105263157894737,0,0,0,0,0.0245579567779961,0.0478468899521531,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855106888361045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36144578313253,0,0,0,0,0,0,0,0,0.0867208672086721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895522388059701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0.167785234899329,0,0,0,0,0,0,0.079646017699115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575221238938053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0.0901287553648069,0,0,0,0,0,0,0,0,1,0,0.142857142857143,0.5,0.132743362831858,0.34341252699784,0,0,0.196544276457883,0,0,0.5625,0.25,0.0617760617760618,0,0.0769230769230769,0,0,0.354838709677419,0.4,0.294478527607362,0.363934426229508,0,0.531674208144796,0,0,0,0.23943661971831,0.25,0,0,0,0,0.106779661016949,0.467741935483871,0.5,0,0.116389548693587,0.290909090909091,0,0.444444444444444,0,0,0,0.555555555555556,0.6875,0.4,0,0.4,0.272727272727273,0.0923913043478261,0.194029850746269,0,0,0.533333333333333,0,0.55,0.0834767641996558,1,0,0,0.157342657342657,0.103448275862069,0,0,0.250936329588015,0.284552845528455,0.593548387096774,0,0.123348017621145,0,0.105610561056106,1,0.291139240506329,0,0,0,1,0.25,1,0.426523297491039,0.0647773279352227,0.232,0,0.33,0.402255639097744,0.172413793103448,0.263157894736842,0.245098039215686,0.291044776119403,0,0,0,0.231464737793852,0.361930294906166,0.564625850340136,0.257142857142857,0,0.5,0.357142857142857,0.307692307692308,0.769230769230769,1,0.101769911504425,0.103448275862069,0.12621359223301,0.529850746268657,0.5,0.472527472527473,0,0,0,0.076555023923445,0,0,0.0916030534351145,0,0,0.142116630669546,0.106382978723404,0,0.352112676056338,0.210526315789474,0.429906542056075,0.545454545454545,0.2,1,0.0245579567779961,0.0478468899521531,0
"Detritus",0.0429184549356223,0,0.0901639344262295,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.321266968325792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347826086956522,0,0.280487804878049,0,0,0,0,0,0,0,0,0,0.36,0,0.170616113744076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
