"","Abudefduf sordidus","Acanthurus gahhm","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso unicornis","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis cephalopunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata"
"Actinopterygii",0.286644951140065,0,0,0,0.5,0,0,0,0.5,0.216867469879518,0.137767220902613,0,0,0.523015343562375,0.2,1,0.25,0.72,0,0,0,0,0,0,0,0.43046357615894,0.4,0,0.0285714285714286,0.486486486486486,0.2,0.161290322580645,0.321428571428571,0.333333333333333,0,0,0,0.236666666666667,0.454545454545455,0.5,0.8,0.725806451612903,0.470588235294118,1,0.111111111111111,0,0.5,0,0.125,0.211864406779661,0.6,1,0.6,0.375,0,0.0610687022900763,0,0,0.130111524163569,0,0,0.265129682997118,0,0,0.153005464480874,0.344827586206897,0.548104956268222,0,0.2,0.630914826498423,0.0798004987531172,0.243093922651934,0,0,0.0909090909090909,0.302158273381295,0,0,0,0,0,0,0.408695652173913,0.122137404580153,0.730769230769231,1,0,0.401041666666667,0,0.456521739130435,0.27027027027027,0.125748502994012,1,0.166666666666667,0.271739130434783,0.334685598377282,0.364611260053619,0,0.36986301369863,0.333333333333333,0.25,0.412213740458015,0,0.230769230769231,0,0.0634920634920635,0,0,0.246575342465753,0,0.379746835443038,1,0,1,0.15962441314554,0,0,0.5,1,1,0,0,1,0.342857142857143,0,0.292929292929293,0.454545454545455,0.75,0,0,0.0302663438256659
"Anthozoa",0,0,0,0.238095238095238,0,0,1,0.714285714285714,0,0.192771084337349,0,0,0,0,0.2,0,0,0,0.309963099630996,0.903846153846154,0.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423280423280423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0808080808080808,0,0,0,0,0
"Arachnida",0.0651465798045603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0.0651465798045603,0,0,0,0,0,0,0.142857142857143,0,0.0481927710843374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794701986754967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.101796407185629,0,0,0,0.0557620817843866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312775330396476,0,0.151079136690647,0,0,0,0,0,0,0,0.122137404580153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423280423280423,0,0.120950323974082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,0.133333333333333,0,0,0,0,0.0229182582123759,0.0302663438256659
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484149855907781,0,0,0,0,0,0,0,0,0.0798004987531172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125748502994012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanophyceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0.072289156626506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616740088105727,0,0.0971223021582734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0.0808080808080808,0,0,0,0,0.0665859564164649
"Enteropneusta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798004987531172,0.110497237569061,0,0,0,0.0431654676258993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florideophyceae",0,0,0.510204081632653,0,0,0,0,0,0,0.108433734939759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917107583774251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0.244897959183673,0,0,0,0,0,0,0.144578313253012,0,0,0.0408163265306122,0,0,0,0,0,0.0553505535055351,0,0,0,0,0.425806451612903,0.545454545454545,0.172185430463576,0.236065573770492,0,0,0,0,0,0.107142857142857,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,0.2,0,0,0.125,0,0,0,0,0,0.598802395209581,0.132315521628499,0.0909090909090909,0,0,1,0,0,0,0.0769230769230769,0.153005464480874,0.0919540229885057,0,0.0759493670886076,0,0,0.0798004987531172,0,0.75,0.440528634361233,0,0.0971223021582734,0,0,0,0,0.142857142857143,0,0,0.251908396946565,0,0,0,0,0,0,0.162162162162162,0,0,0.166666666666667,0.184782608695652,0.405679513184584,0,0,0,0,0,0.0763358778625954,0,0,0,0.18694885361552,0,0.259179265658747,0.0821917808219178,0.5,0,0,0,0,0.2018779342723,0,0,0,0,0,0.0262352426759948,0.24390243902439,0,0,0.2,0.0808080808080808,0,0,0,0.0870893812070283,0.199757869249395
