"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Actinopterygii",0,0,0,0,0.992329430730475,1,0,1,0.866666667413333,0,0,0.144973968720362,0,0.97207806303649,0,0.683289361595594,0,0.176470588041522,0.125,0,0.040034196891789,0.494711627040379,0,0,0,0,0.103964491162025,0,0.333333332,0.767882836282941,1,0,0.129507944059625,0.445859872566636,0,0,0,0,0,0.136363636363636,0,0,0,0,0,0.0384417304388069,0,0,0.0455120100671058,0,0,0,0,0,0,0.428571428571429,0,0.195880243589714,0,0.687500000021484,0,0,0,0,0,0,0,0,1,0.846153846,0.88,0.125,0.666666667,0,0,0.734693876790087,0.154416306529336,0.951219512450327,0.26517108302157,0.153846153846154,0,0,0,1
"Anthozoa",0,0.10000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192131363864492,0,0,0,0,0,0.000667835574273607,0,0,0,0,0,0,0,0,0,0,0.0290937435124038,0,0,0,0,0,0,0,0,0,0,0,0,0.0524205413676758,0,0,0.0525916561090994,0,0,0,0,0,0,0,0,0.0122380994828881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788807512191168,0.00102635786072702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200445919929685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0,0,0,0,0,0,0,0,1,0,0.0128153786313209,0,0.00408469331044814,0,0.000192131363864492,0,0,0,0,0.0250232196310984,0,0.0441176475522275,1,0,0,0.00736649510891879,0,0.333333332,0,0,0.928571426918367,0,0,0,0,0,0,0,0,0,0,0,0,0.630044842860202,0.101162448624338,0,0,0.0386852085097074,0,0,0,0,0,0,0,0,0.0014255781836018,0.876288659781061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.307692307692308,0,0.375,1,0
"Bivalvia",0,0.10000000007,0,0,0,0,0,0,0.0666666662933333,0,0,0.0128153786313209,0,0.003463109428069,0,0.00896034967573404,0,0,0,0,0.162164267239972,0.0324361177819648,0.102941176474805,0,0.240000000288,0,0.104495600437039,0,0.111111112,0,0,0,0.0687917486010967,0,0,0,0,0,0,0,0,0,0,0,0,0.18546448920869,0,0,0.353223767462585,0,0,0,0,0,0,0,0,0.270444178112932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.090179123059897,0,0.123634634815186,0.153846153846154,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0.0128153786313209,0,0.0144740217539582,0,0.0184206932840139,0,0,0,0,0.00164932477677667,0.0286743586695952,0,0,0,0,0,0,0,0.0277131813641911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128139100181299,0,0,0.00910240191875617,0,0,0,0,0,0,0,0,0.0152250591024034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234391100385693,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
