"","Abalistes stellaris","Acanthopagrus berda","Acanthurus blochii","Albula sp","Anyperodon leucogrammicus","Apogon ellioti","Apogon hyalosoma","Aprion virescens","Arothron hispdus","Arothron manilensis","Arothron stellatus","Asterorhombus intermedius","Atule mate","Bodianus perditio","Carangoides chrysophrys","Carangoides coeruleopinnatus","Carangoides ferdau","Carangoides fulvoguttatus","Carangoides gymnostethus","Carangoides orthogrammus","Carangoides sp","Caranx ignobilis","Caranx papuensis","Caranx sexfasciatus","Caranx sp","Carcharhinus albimarginatus","Carcharhinus melanopterus","Cephalopholis argus","Cephalopholis boenak","Cephalopholis miniata","Cephalopholis sonnerati","Chanos chanos","Cheilinus chlorourus","Cheilinus undulatus","Cheilodipterus macrodon","Chirocentrus dorab","Choerodon graphicus","Coris aygula","Cymbacephalus staigeri","Dactyloptena orientalis","Dendrochirus brachypterus","Diagramma pictum","Drepane punctata","Echeneis naucrates","Elops machnata","Engyprosopon grandisquama","Epinephelus areolatus","Epinephelus coeruleopunctatus","Epinephelus coioides","Epinephelus cyanopodus","Epinephelus fasciatus","Epinephelus howlandi","Epinephelus macrosplos","Epinephelus maculatus","Epinephelus malabaricus","Epinephelus merra","Epinephelus ongus","Epinephelus polyphekadion","Epinephelus rivulatus","Gazza minuta","Gerres filamentosus","Grammatobothus polyophthalmus","Gymnocranius euanus","Gymnocranius grandoculis","Gymnocranius sp","Hemiramphus far","Kyphosus vaigiensis","Lagocephalus sceleratus","Leptomelanosoma indicum","Lethrinus atkinsoni","Lethrinus genivittatus","Lethrinus harak","Lethrinus lentjan","Lethrinus nebulosus","Lethrinus obsoletus","Lethrinus olivaceus","Lethrinus rubrioperculatus","Lethrinus semicinctus","Lethrinus xanthochilus","Lutjanus adetii","Lutjanus argentimaculatus","Lutjanus bohar","Lutjanus fulviflamma","Lutjanus fulvus","Lutjanus gibbus","Lutjanus kasmira","Lutjanus quinquelineatus","Lutjanus rivulatus","Lutjanus russellii","Lutjanus sebae","Lutjanus semicinctus","Lutjanus vitta","Megalops cyprinoides","Monodactylus argenteus","Monotaxis grandoculis","Mulloidichthys flavolineatus","Muraenesox bagio","Naso unicornis","Nemipterus peronii","Nemipterus zysron","Neoniphon sammara","Neopomacentrus nemurus","Neotrygon kuhlii","Onigocia macrolepis","Parupeneus ciliatus","Parupeneus heptacanthus","Parupeneus indicus","Platax orbicularis","Platax pinnatus","Plectorhinchus albovittatus","Plectorhinchus chaetodonoides","Plectorhinchus gibbosus","Plectorhinchus lineatus","Plectorhinchus picus","Plectropomus leopardus","Pomacentrus adelus","Pomadasys argenteus","Priacanthus hamrur","Pseudalutarius nasicornis","Pseudobalistes fuscus","Pseudocaranx dentex","Pterois lunulata","Sargocentron diadema","Sargocentron rubrum","Sargocentron spniferum","Saurida gracilis","Saurida undosquamis","Scatophagus argus","Scolopsis taenioptera","Scomberoides tol","Scomberomorus commerson","Siganus argenteus","Siganus doliatus","Siganus fuscescens","Siganus lineatus","Siganus punctatus","Sillago ciliata","Sillago sihama","Sillago sp","Sphyraena acutipinnis","Sphyraena barracuda","Sphyraena forsteri","Sphyraena jello","Sphyraena obtusata","Sphyraena pinguis","Sphyraena putnamae","Sphyrna lewini","Strophidon sathete","Sufflamen fraenatum","Symphorus nematophorus","Synodus dermatogenys","Synodus hoshinonis","Synodus sp","Synodus variegatus","Terapon jarbua","Trichiurus lepturus","Tylosurus crocodilus","Upeneus australiae","Upeneus japonicus","Upeneus moluccensis","Upeneus tragula","Upeneus vittatus","Variola louti","Zebrasoma veliferum"
"Achelata",0.0344827583353151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.016129032280437,0,0,0,0,0,0,0,0.0333333330622222,0,0,0,0.117647058823529,0,0,0,0,0,0,0,0.00173010424890896,0.00819672121764983,0,0,0.00112133832734707,0,0,0,0,0,0.0253164562137478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654307550402015,0,0,0,0,0,0.0196078429945406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii",0.103448276040428,0,0,0.111111111111111,1,0,0.0666666662933333,0.430493273454121,0,0,0,0.923076923,0.75,0.0142180089054716,0.621621622,1,0.538461538319527,0.846153846,0.7500000001875,0.888888888888889,0.666666667,0.58620689693698,0.557692308338757,0.7500000001875,0.666666667,1,1,1,0.714285714285714,0.882352941394464,1,0,0,0.4,1,0.666666667,0,0,1,0,0,0.136645963072412,0,0.333333332,0.785714285515306,0,0.333333334088889,0.210526315623269,0.375,0.516129031586889,0.214285713446429,0.333333333333333,0.285714285010204,0.401746722739307,0.269230769343935,0.30952380922449,1,0.399999999796667,0,0.951219512450327,0,0.117647058823529,0.0326086950098535,0.076782449725777,0.0317460320644999,0,0,0.197368421214681,0.428571428571429,0.198961938262938,0.172131147980482,0.128205128,0.0566037736400142,0.0319581364297512,0,0.5600000000464,0.32258064401048,0.444444444255144,0.200000000792,0.278481012338568,0.123348017859089,0.684491978977037,0.469387754964043,0.158730159111111,0.286219081737505,0.285714284612245,0.216027874779492,0.333333333333333,0.517241379514269,0.285714285530612,0.5,0.483870966959938,0.785714285714286,0.125,0,0.260869565591682,1,0,0.232558139307734,0.178844056502832,0.1,0,0,0,0,0.0784313728879662,0.0227272727272727,0,0,0.04651162800649,0,0,0,0,0.9199999990016,0,0.0303541313660099,0.125,0,0,0.75,0.166666666666667,0,0.128571428571429,0.0857142857428571,1,0.920833333,0,0.00586510215116829,0.896551724173603,1,0,0,0,0,0,0.285714285714286,0.0625000002708333,0,1,0.961538461578402,0.777777779197531,1,1,1,0.944444443722222,0,1,0,0.523809523809524,1,1,1,1,0.521739129680529,1,0.866666667413333,0,0,0.1882352940609,0.0151515147784665,0.0439560443939138,0.833333333333333,0
"Algae",0,0.02500000030875,1,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333332,0,0,0,0,0,0,0,0,0,0.00873362472710284,0,0,0,0,0,0,0,0,0,0.0109689213893967,0,1,1,0.03947368383241,0,0.00346020687325044,0,0,0,0.000841003548855627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.0434782604536862,0,0.333333333,0,0,0,0,0,0,0,0,0,0.75,0,0.069767442009735,0,0,0,0,0,1,0.0067453628259486,0,0.21739130452741,0,0,0,0,0,0.0285714289142857,0,0,1,0,0,0,1,1,1,1,0.428571428571429,0,0,0,0,0,0,0,0,0,0.0277777781388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Amphipoda",0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274509805562784,0,0,0,0.023255814003245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666333333,0.00588235296955017,0,0,0,0
"Annelida",0.0344827583353151,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124223601550866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095241088435,0,0,0,0,0.142857143102041,0,0.0195652178706947,0.076782449725777,0.0158730160322499,0,0,0,0,0.00173010424890896,0,0,0,0.0179414100910783,0,0.0133333334725333,0.00460829548941897,0,0,0,0,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558142563548,0.00654307550402015,0,0,0,0,0,0,0.0681818181818182,0.25,0,0,0,0,0,0,0,0,0.0185497470959792,0,0,0,0,0,0,0,0,0,0,0,0.00879765373115126,0,0,0,0,0,0,0,0,0.104166666395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109890113677092,0,0
"Anomura",0.0344827583353151,0,0,0,0,0,0,0,0,0,0,0,0,0.0284360178109431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0.00873362472710284,0,0,0,0,0.5,0,0,0.176470588235294,0,0,0,0,0,0,0,0.0051903111221594,0.00819672121764983,0,0,0.0162594029933671,0,0.0133333334725333,0,0,0.0399999996304,0,0,0,0,0,0.0106007070794678,0,0.0278745634922847,0,0,0,0,0,0,0,0,0,0,0,0,0.0109051255237849,0,0,0,0,0,0.0039215687808689,0,0,0,0,0,0,0,0,0,0,0.0067453628259486,0,0,0.166666666666667,0,0,0,0,0.0285714289142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782611871456,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158730160322499,0,0,0,0,0.00605536324661388,0,0,0,0.00280334542505832,0,0,0,0,0,0.0126582281068739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814003245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0.172413793745541,0.05833333340375,0,0.222222222222222,0,0,0,0,0.454545454545455,0.363636363636364,0.4,0,0,0.654028437035579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286299911,0,0.111111112,0,0,0.0666666672711111,0,0,0.0483870968413111,0,0,0,0.0873362435941725,0,0.0238095241088435,0,0,0,0,0.142857143102041,0,0.423913042334617,0.263254113345521,0.428571427854875,0,0,0.03947368383241,0,0.268166090349054,0.122950819469665,0.051282051,0.113207547280028,0.505723496745615,0.142857142857143,0.0533333327301333,0.0460829494057105,0.0370370371632373,0.0399999996304,0.0379746831180901,0,0.0213903741478452,0.0068027215484289,0,0.0265017667578569,0,0.0418118478098557,0.333333333333333,0,0,0,0,0,0.125,0.571428571428572,0,0,0,0.0232558142563548,0.00872410003952959,0,0,0.10000000007,0,0,0.00784313756173779,0.204545454545455,0,0,0.069767442009735,0.333333333,0,0,0,0,0,0.198988195711184,0,0,0.5,0,0,0,0,0.0285714289142857,0,0,0,0.187683284978148,0,0,0,0,0,0,0,0.142857142857143,0.0625000002708333,0,0,0,0.0555555545617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666662933333,0.0769230769230769,0,0.0411764707868512,0.0151515147784665,0.263736263132713,0,0
"Brachyura",0.482758621866825,0.83333333225,0,0.444444444444444,0,0,0.533333333146667,0.10762331836353,0.0909090909090909,0.181818181818182,0.4,0,0,0.113744077329081,0.054054054,0,0.30769230747929,0.076923077,0,0.0555555555555556,0,0.20689655153151,0.30769230789645,0,0.333333333,0,0,0,0,0,0,0,1,0.2,0,0,0,0.2,0,0.333333333333333,0.142857143,0.149068323227499,0,0,0.071428571494898,0.111111111,0.466666666364444,0.578947368753463,0.375,0.225806451926119,0.714285714285714,0.333333333333333,0.571428571663265,0.323144103872237,0.596153845984098,0.404761904612245,0,0.466666665921111,0.5,0,0.285714285346939,0.352941176470588,0.110869565051328,0.175502742230347,0.111111110971781,0,0,0.513157895979224,0,0.209342560507257,0.278688525014848,0.769230769,0.679245282706586,0.182217446335841,0,0.213333333240533,0.41935483831132,0.333333333617284,0.4399999998944,0.417721519109117,0.753303964281822,0.0962566852268009,0.3061224484276,0.722222222222222,0.408127208447321,0.5,0.369337979129915,0.333333333333333,0.15517241351635,0.39285714292602,0.166666667,0.241935484153356,0.0714285714285714,0.25,0.142857142857143,0.217391304181475,0,0,0.488372092057869,0.392584514112529,0.3,0,0,0.222222222493827,0.666666666666667,0.1725490190798,0.636363636363636,0,0,0.488372092463494,0,0.727272727272727,1,0.571428571428571,0.0400000004992,0,0.512647554960964,0,0,0.0833333333333333,0.25,0.666666666666667,0,0.728571428571429,0.628571427114286,0,0.004166667,0,0.0586510265556712,0,0,0,0,0,0,0,0.285714285714286,0.541666666125,0.857142857,0,0,0,0,0,0,0,1,0,0.357142858489796,0.19047619047619,0,0,0,0,0.347826086758034,0,0.0666666662933333,0.0192307692307692,0.166666666833333,0.19411764703045,0.204545454925964,0.318681317817413,0,0
"Cephalopoda",0.0344827583353151,0,0,0,0,0,0,0.0493273542910575,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0.034482758588585,0,0.2499999998125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124223601550866,0,0,0,0,0,0,0.125,0.0322580645608741,0,0,0,0.0393013094335348,0.0192307690987426,0,0,0.0500000001016667,0,0,0,0,0.00652173929023157,0.0109689213893967,0.0158730160322499,0,0,0.03947368383241,0,0.0082179931516082,0.0122950818264747,0,0,0.000981170938101348,0,0.0266666669450667,0.0184331796708095,0.0370370371632373,0.0399999996304,0,0,0.0213903741478452,0,0,0.0265017667578569,0.0714285730816327,0.0313588852145346,0,0,0.0714285713826531,0,0.0161290323666753,0,0,0,0,0,0,0.0232558142563548,0.00763358777177487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714289142857,0,0,0,0.00586510215116829,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666240741,0,0,0,0.0277777781388889,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
