"","Abalistes stellaris","Acanthopagrus berda","Acanthurus blochii","Albula sp","Anyperodon leucogrammicus","Apogon ellioti","Apogon hyalosoma","Aprion virescens","Arothron hispidus","Arothron manilensis","Arothron stellatus","Asterorhombus intermedius","Atule mate","Bodianus perditio","Carangoides chrysophrys","Carangoides coeruleopinnatus","Carangoides ferdau","Carangoides fulvoguttatus","Carangoides gymnostethus","Carangoides orthogrammus","Carangoides sp","Caranx ignobilis","Caranx papuensis","Caranx sexfasciatus","Caranx sp","Carcharhinus albimarginatus","Carcharhinus melanopterus","Cephalopholis argus","Cephalopholis boenak","Cephalopholis miniata","Cephalopholis sonnerati","Chanos chanos","Cheilinus chlorourus","Cheilinus undulatus","Cheilodipterus macrodon","Chirocentrus dorab","Choerodon graphicus","Coris aygula","Cymbacephalus staigeri","Dactyloptena orientalis","Dendrochirus brachypterus","Diagramma pictum","Drepane punctata","Echeneis naucrates","Elops machnata","Engyprosopon grandisquama","Epinephelus areolatus","Epinephelus coeruleopunctatus","Epinephelus coioides","Epinephelus cyanopodus","Epinephelus fasciatus","Epinephelus howlandi","Epinephelus macrospilos","Epinephelus maculatus","Epinephelus malabaricus","Epinephelus merra","Epinephelus ongus","Epinephelus polyphekadion","Epinephelus rivulatus","Gazza minuta","Gerres filamentosus","Grammatobothus polyophthalmus","Gymnocranius euanus","Gymnocranius grandoculis","Gymnocranius sp","Hemiramphus far","Kyphosus vaigiensis","Lagocephalus sceleratus","Leptomelanosoma indicum","Lethrinus atkinsoni","Lethrinus genivittatus","Lethrinus harak","Lethrinus lentjan","Lethrinus nebulosus","Lethrinus obsoletus","Lethrinus olivaceus","Lethrinus rubrioperculatus","Lethrinus semicinctus","Lethrinus xanthochilus","Lutjanus adetii","Lutjanus argentimaculatus","Lutjanus bohar","Lutjanus fulviflamma","Lutjanus fulvus","Lutjanus gibbus","Lutjanus kasmira","Lutjanus quinquelineatus","Lutjanus rivulatus","Lutjanus russellii","Lutjanus sebae","Lutjanus semicinctus","Lutjanus vitta","Megalops cyprinoides","Monodactylus argenteus","Monotaxis grandoculis","Mulloidichthys flavolineatus","Muraenesox bagio","Naso unicornis","Nemipterus peronii","Nemipterus zysron","Neoniphon sammara","Neopomacentrus nemurus","Neotrygon kuhlii","Onigocia macrolepis","Parupeneus ciliatus","Parupeneus heptacanthus","Parupeneus indicus","Platax orbicularis","Platax pinnatus","Plectorhinchus albovittatus","Plectorhinchus chaetodonoides","Plectorhinchus gibbosus","Plectorhinchus lineatus","Plectorhinchus picus","Plectropomus leopardus","Pomacentrus adelus","Pomadasys argenteus","Priacanthus hamrur","Pseudalutarius nasicornis","Pseudobalistes fuscus","Pseudocaranx dentex","Pterois lunulata","Sargocentron diadema","Sargocentron rubrum","Sargocentron spiniferum","Saurida gracilis","Saurida undosquamis","Scatophagus argus","Scolopsis taenioptera","Scomberoides tol","Scomberomorus commerson","Siganus argenteus","Siganus doliatus","Siganus fuscescens","Siganus lineatus","Siganus punctatus","Sillago ciliata","Sillago sihama","Sillago sp","Sphyraena acutipinnis","Sphyraena barracuda","Sphyraena forsteri","Sphyraena jello","Sphyraena obtusata","Sphyraena pinguis","Sphyraena putnamae","Sphyrna lewini","Strophidon sathete","Sufflamen fraenatum","Symphorus nematophorus","Synodus dermatogenys","Synodus hoshinonis","Synodus sp","Synodus variegatus","Terapon jarbua","Trichiurus lepturus","Tylosurus crocodilus","Upeneus australiae","Upeneus japonicus","Upeneus moluccensis","Upeneus tragula","Upeneus vittatus","Variola louti","Zebrasoma velifer"
"Actinopterygii",0.192307692751479,0,0,0.125,1,0,0.12499999934375,0.492307692099408,0,0,0,0.923076923,0.75,0.0158730152304947,0.718750000325195,1,0.538461538319527,0.916666666576389,0.7500000001875,0.941176470588235,0.666666667,0.72340425563694,0.698795181577587,0.7500000001875,0.666666667,1,1,1,0.714285714285714,0.882352941394464,1,0,0,0.4,1,0.666666667,0,0,1,0,0,0.171875000389404,0,0.333333332,0.846153846,0,0.476190476807256,0.347826086729679,0.5,0.677248676661236,0.342857141629388,0.5,0.421052630686981,0.535922327563706,0.417910447942972,0.440677965722494,1,0.644295301255079,0,0.951219512450327,0,0.37037037037037,0.0388098310739931,0.0956719817767654,0.035087719638658,0,0,0.2884615389375,0.428571428571429,0.257309069765078,0.253012048911874,0.128205128,0.0864553314763847,0.0410386864329709,0,0.666666666820106,0.443037973117109,0.58536585338489,0.319148937469896,0.514619882794022,0.219607843514371,0.723163842441699,0.618834080460496,0.264900662831279,0.413265306760074,0.285714284612245,0.326889279875266,0.333333333333333,0.681818181995351,0.372093023022174,0.666666666666667,0.6122448970202,0.88,0.153846153846154,0,0.342857143395918,1,0,0.338983050324619,0.408366533061876,0.181818181818182,0,0,0,0,0.128865979828356,0.0344827586206897,0,0,0.0701754387097568,0,0,0,0,0.9199999990016,0,0.0586956519127174,0.125,0,0,0.75,0.166666666666667,0,0.36734693877551,0.176470587871972,1,0.958785249277013,0,0.011494251930506,0.896551724173603,1,0,0,0,0,0,0.4,0.113207547614098,0,1,0.961538461578402,0.777777779197531,1,1,1,0.944444443722222,0,1,0,0.594594594594595,1,1,1,1,0.734693876790087,1,0.866666667413333,0,0,0.264462809816543,0.0289855065637471,0.0661157031085308,0.833333333333333,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116504858083288,0,0,0,0,0,0,0,0,0,0.123006833712984,0,0,0,0,0,0.00223747073822259,0.0361445779099579,0,0,0.00143995417575188,0,0,0,0,0,0,0,0.0112994349350442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571427673469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017543859819329,0,0,0,0,0.00783114548279457,0,0,0,0.00359988493431585,0,0,0,0,0,0.0233918133593242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350877193548784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0.0441176475522275,1,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333332,0,0,0,0,0,0,0,0,0,0.0116504858083288,0,0,0,0,0,0,0,0,0,0.0136674259681093,0,1,1,0.0576923071875,0,0.00447493937546069,0,0,0,0.00107996537928199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0,0.0571428566040816,0,0.333333333,0,0,0,0,0,0,0,0,0,0.75,0,0.105263158064635,0,0,0,0,0,1,0.0130434787832609,0,0.21739130452741,0,0,0,0,0,0.058823529976932,0,0,1,0,0,0,1,1,1,1,0.428571428571429,0,0,0,0,0,0,0,0,0,0.0277777781388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bivalvia",0.320512821893491,0.102941176474805,0,0.25,0,0,0,0,0.454545454545455,0.363636363636364,0.4,0,0,0.730158731174183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359375000657959,0,0.111111112,0,0,0.0952380960090703,0,0,0.0634920636076258,0,0,0,0.116504853178433,0,0.0338983055145073,0,0,0,0,0.240000000288,0,0.504527812538883,0.328018223234624,0.473684209578024,0,0,0.0576923071875,0,0.346807876183153,0.180722891320874,0.051282051,0.172910662952769,0.649419219119669,0.142857142857143,0.0634920627833207,0.063291139375681,0.048780487969066,0.063829786651426,0.0701754378557505,0,0.0225988698700884,0.00896861047083191,0,0.0382653060808647,0,0.0632688945108089,0.333333333333333,0,0,0,0,0,0.153846153846154,0.571428571428572,0,0,0,0.0338983055070382,0.019920318051896,0,0,0.10000000007,0,0,0.0128865984312892,0.310344827586207,0,0,0.105263158064635,0.333333333,0,0,0,0,0,0.384782609305109,0,0,0.571428571428571,0,0,0,0,0.058823529976932,0,0,0,0.367816093408376,0,0,0,0,0,0,0,0.2,0.113207547614098,0,0,0,0.0555555545617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666662933333,0.108108108108108,0,0.0578512399438563,0.0289855065637471,0.396694213791681,0,0
"Cephalopoda",0.0641025636094675,0,0,0,0,0,0,0.0564102564333991,0,0,0,0,0,0,0.0312499999638672,0,0,0,0,0,0,0.0425531914404708,0,0.2499999998125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156249998791504,0,0,0,0,0,0,0.166666666666667,0.0423280424050838,0,0,0,0.0524271836850523,0.0298507460641568,0,0,0.0805369128615828,0,0,0,0,0.00776196655787753,0.0136674259681093,0.017543859819329,0,0,0.0576923071875,0,0.0106279833803267,0.0180722889549789,0,0,0.00125995977751693,0,0.0317460320821366,0.0253164556246395,0.048780487969066,0.063829786651426,0,0,0.0225988698700884,0,0,0.0382653060808647,0.0714285730816327,0.0474516699103474,0,0,0.0930232557555435,0,0.0204081634044148,0,0,0,0,0,0,0.0338983055070382,0.0174302788369927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529976932,0,0,0,0.011494251930506,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666240741,0,0,0,0.0277777781388889,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0.23076923091716,0.764705880294983,0,0.5,0,1,0.87500000065625,0.112820512866798,0.0909090909090909,0.181818181818182,0.4,0.076923077,0,0.0582010581096974,0.156249999819336,0,0.30769230747929,0.0833333334236111,0.2499999998125,0.0588235294117647,0.333333333,0.234042552922589,0.253012048272899,0,0.333333333,0,0,0,0.285714285714286,0.117647058605536,0,0,1,0.2,0,0.333333333,0,0.25,0,1,1,0.132812499832153,0,0,0.076923077,0.111111111,0.428571427183673,0.652173913270321,0.333333333333333,0.111111111313345,0.600000000537143,0.5,0.473684211036011,0.166990291681191,0.552238805992871,0.423728813711003,0,0.221476509550561,1,0.0487804875496728,0.39999999928,0.62962962962963,0.0698576973055032,0.116173120728929,0.122807017349338,0,0,0.46153846275,0.5,0.0572792361916068,0.120481927783394,0.769230769,0.527377521262431,0.0522703275896568,0,0.0952380953257747,0.310126582187039,0.317073170676978,0.297872340515165,0.298245614775828,0.780392156485629,0.0564971755000798,0.318385650064309,0.668874171831762,0.221938775450138,0.5,0.256590509925939,0.333333333333333,0.318181818004649,0.302325581414819,0.333333333333333,0.265306122553311,0.12,0.230769230769231,0.142857142857143,0.314285714465306,0,0,0.423728812312554,0.302788844353959,0.818181818181818,1,0.20000000014,0.79999999978,1,0.1688144325736,0.517241379310345,0,0,0.508771929031702,0,0.833333333333333,1,0.571428571428571,0.0400000004992,0,0.413043479131522,0.875,0,0.142857142857143,0.25,0.666666666666667,0.666666666666667,0.63265306122449,0.529411762243368,0,0.0412147507229874,0,0.126436782109129,0.103448275826397,0,0,0,0,0,0,0.4,0.547169810851786,0.857142857,0,0.0384615384215976,0,0,0,0,0,1,0,0.357142858489796,0.135135135135135,0,0,0,0,0.204081632941691,0,0.0666666662933333,0.405405405405405,0.20000000024,0.396694214724814,0.913043480308759,0.487603304553514,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439185947844747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0.0641025636094675,0.0147058830909386,0,0,0,0,0,0.0205128203161078,0,0,0.08,0,0,0.0846560846261303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.25,0,0,0,0,0.124999999892578,1,0.222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268456381663889,0,0,0,0,0.150064682783045,0.0501138952164009,0.105263157530009,0,0,0.07692307675,0,0.0715990457647547,0.054216867750479,0.025641026,0.0576368876509231,0.045598540817788,0.142857142857143,0.0634920627833207,0,0,0.127659575409235,0,0,0,0,0,0.0382653060808647,0,0.031634445309886,0,0,0,0,0,0,0,0,0,0,0,0,0.00498008059614133,0,0,0,0,0,0,0,0,0,0.0350877193548784,0,0,0,0,0,0,0.0195652173042391,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857141510204,0.108108108108108,0,0,0,0,0,0,0,0.027027027027027,0,0.00826446284912233,0,0.0165289261820914,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776196655787753,0.0136674259681093,0.017543859819329,0,0,0,0,0,0,0.025641026,0,0.00143995417575188,0,0,0,0,0,0,0,0,0,0,0.0153061229757132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478260905482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
