"","Abalistes stellaris","Acanthopagrus berda","Albula sp","Anyperodon leucogrammicus","Apogon ellioti","Apogon hyalosoma","Aprion virescens","Arothron hispdus","Arothron manilensis","Arothron stellatus","Asterorhombus intermedius","Atule mate","Bodianus perditio","Carangoides chrysophrys","Carangoides coeruleopinnatus","Carangoides ferdau","Carangoides fulvoguttatus","Carangoides gymnostethus","Carangoides orthogrammus","Carangoides sp","Caranx ignobilis","Caranx papuensis","Caranx sexfasciatus","Caranx sp","Carcharhinus albimarginatus","Carcharhinus melanopterus","Cephalopholis argus","Cephalopholis boenak","Cephalopholis miniata","Cephalopholis sonnerati","Cheilinus chlorourus","Cheilinus undulatus","Cheilodipterus macrodon","Chirocentrus dorab","Choerodon graphicus","Coris aygula","Cymbacephalus staigeri","Dactyloptena orientalis","Dendrochirus brachypterus","Diagramma pictum","Drepane punctata","Echeneis naucrates","Elops machnata","Engyprosopon grandisquama","Epinephelus areolatus","Epinephelus coeruleopunctatus","Epinephelus coioides","Epinephelus cyanopodus","Epinephelus fasciatus","Epinephelus howlandi","Epinephelus macrosplos","Epinephelus maculatus","Epinephelus malabaricus","Epinephelus merra","Epinephelus ongus","Epinephelus polyphekadion","Epinephelus rivulatus","Gazza minuta","Gerres filamentosus","Grammatobothus polyophthalmus","Gymnocranius euanus","Gymnocranius grandoculis","Gymnocranius sp","Lagocephalus sceleratus","Leptomelanosoma indicum","Lethrinus atkinsoni","Lethrinus genivittatus","Lethrinus harak","Lethrinus lentjan","Lethrinus nebulosus","Lethrinus obsoletus","Lethrinus olivaceus","Lethrinus rubrioperculatus","Lethrinus semicinctus","Lethrinus xanthochilus","Lutjanus adetii","Lutjanus argentimaculatus","Lutjanus bohar","Lutjanus fulviflamma","Lutjanus fulvus","Lutjanus gibbus","Lutjanus kasmira","Lutjanus quinquelineatus","Lutjanus rivulatus","Lutjanus russellii","Lutjanus sebae","Lutjanus semicinctus","Lutjanus vitta","Megalops cyprinoides","Monodactylus argenteus","Monotaxis grandoculis","Mulloidichthys flavolineatus","Muraenesox bagio","Nemipterus peronii","Nemipterus zysron","Neoniphon sammara","Neopomacentrus nemurus","Neotrygon kuhlii","Onigocia macrolepis","Parupeneus ciliatus","Parupeneus heptacanthus","Parupeneus indicus","Platax orbicularis","Plectorhinchus albovittatus","Plectorhinchus chaetodonoides","Plectorhinchus gibbosus","Plectorhinchus lineatus","Plectorhinchus picus","Plectropomus leopardus","Pomadasys argenteus","Priacanthus hamrur","Pseudobalistes fuscus","Pseudocaranx dentex","Pterois lunulata","Sargocentron diadema","Sargocentron rubrum","Sargocentron spniferum","Saurida gracilis","Saurida undosquamis","Scolopsis taenioptera","Scomberoides tol","Scomberomorus commerson","Siganus punctatus","Sillago ciliata","Sillago sihama","Sillago sp","Sphyraena acutipinnis","Sphyraena barracuda","Sphyraena forsteri","Sphyraena jello","Sphyraena obtusata","Sphyraena pinguis","Sphyraena putnamae","Sphyrna lewini","Strophidon sathete","Sufflamen fraenatum","Symphorus nematophorus","Synodus dermatogenys","Synodus hoshinonis","Synodus sp","Synodus variegatus","Terapon jarbua","Trichiurus lepturus","Tylosurus crocodilus","Upeneus australiae","Upeneus japonicus","Upeneus moluccensis","Upeneus tragula","Upeneus vittatus","Variola louti"
"Actinopterygii",0.227848101554238,0,0.125,1,0,0.12499999934375,0.690647481968842,0,0,0,0.923076923,0.75,0.0158730152304947,0.811764706128166,1,0.69999999988,0.916666666576389,0.7500000001875,0.941176470588235,0.666666667,0.72340425563694,0.776785714989796,0.7500000001875,0.666666667,1,1,1,0.714285714285714,0.882352941394464,1,0,0.4,1,0.666666667,0,0,1,0,0,0.209523809936206,0,0.499999997,0.846153846,0,0.476190476807256,0.347826086729679,0.5,0.747663550894838,0.342857141629388,0.5,0.47058823449827,0.619528618803161,0.417910447942972,0.541666665953704,1,0.644295301255079,0,0.951219512450327,0,0.37037037037037,0.0453172197208131,0.11830985915493,0.0400000003792,0.3061224493207,0.6,0.267069206007049,0.371681417103454,0.131578947206371,0.113636363710399,0.0451514948229076,0,0.711864407279517,0.56300267888069,0.58536585338489,0.340909092085227,0.597826086703982,0.219607843514371,0.815286624314387,0.726315789001662,0.279720280454203,0.551489363485581,0.285714284612245,0.419864560473745,0.333333333333333,0.681818181995351,0.4999999998125,0.666666666666667,0.725806450928655,0.88,0.285714285714286,0,0.400000000488889,1,0.447761193374916,0.51572326945374,0.181818181818182,0,0,0,0,0.434782608914934,0.0384615384615385,0,0.111111111300412,0,0,0,0,0.958333332791667,0.062790697453483,0.125,0,0.75,0.2,0,0.36734693877551,0.199999999844444,1,0.958785249277013,0.0196078415832372,0.896551724173603,1,0,0.4,0.139534884283396,0,1,0.961538461578402,0.777777779197531,1,1,1,0.971428571046531,0,1,0,0.673469387755102,1,1,1,1,0.78260869523535,1,0.866666667413333,0,0,0.465454545012152,0.0298507455446647,0.0672268914345032,0.833333333333333
"Anthozoa",0,0,0,0,0,0,0,0,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013468013945289,0,0,0,0,0,0,0,0,0,0.152112676056338,0,0,0,0.00232234150963539,0.0530973445571305,0,0,0.00158426326870566,0,0,0,0,0,0,0,0.0127388533886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571427673469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200000001896,0,0,0.00812819310304576,0,0,0,0.0039606576160839,0,0,0,0,0,0.0271739136187087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555556502058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0.379746836683224,0.107692307752308,0.25,0,0,0,0,0.625,0.421052631578947,0.4,0,0,0.730158731174183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438095238767045,0,0.166666667666667,0,0,0.0952380960090703,0,0,0.0700934580847672,0,0,0,0.134680133782857,0,0.0416666671759259,0,0,0,0,0.333333333666667,0,0.589123866385675,0.405633802816901,0.5399999987992,0.0612244892274052,0,0.359962842405005,0.265486725387423,0.0526315786772853,0.227272727420799,0.714502608602517,0.25,0.0677966094446998,0.0804289545819599,0.048780487969066,0.0681818175170455,0.0815217382746042,0,0.0254777067773405,0.0105263164975069,0,0.0510638298180896,0,0.081264110574617,0.333333333333333,0,0,0,0,0,0.285714285714286,0.8,0,0,0.0447761199643573,0.0251572318555437,0,0,0.285714285714286,0,0,0.0434782624045369,0.346153846153846,0,0.166666666950617,0.333333333,0,0,0,0,0.411627908012109,0,0.571428571428571,0,0,0,0,0.0666666673925926,0,0,0.627450984624375,0,0,0,0.2,0.139534884283396,0,0,0,0.0555555545617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666662933333,0.2,0,0.101818182243226,0.0298507455446647,0.403361343665843,0
"Cephalopoda",0.0759493664252524,0,0,0,0,0,0.0791366907082104,0,0,0,0,0,0,0.0352941176009689,0,0,0,0,0,0,0.0425531914404708,0,0.2499999998125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190476188946334,0,0,0,0,0,0,0.166666666666667,0.0467289720565115,0,0,0,0.0606060599187838,0.0298507460641568,0,0,0.0805369128615828,0,0,0,0,0.00906344434476684,0.0169014084507042,0.0200000001896,0.0612244892274052,0,0.0110311194449205,0.0265486722785653,0,0,0.00138623022119739,0,0.033898305459638,0.0321715816731325,0.048780487969066,0.0681818175170455,0,0,0.0254777067773405,0,0,0.0510638298180896,0.0714285730816327,0.060948081681527,0,0,0.124999999953125,0,0.0241935485663046,0,0,0,0,0,0.0447761199643573,0.022012578557563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666673925926,0,0,0.0196078415832372,0,0,0,0,0,0,0,0,0.166666666240741,0,0,0,0.0285714289534694,0,0,0,0.0612244897959184,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0.0759493664252524,0.0153846161646154,0,0,0,0,0.0287769781515795,0,0,0.08,0,0,0.0846560846261303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.25,0,0,0,0,0.152380952204686,1,0.333333335333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268456381663889,0,0,0,0,0.175226585991776,0.0619718309859155,0.1199999995576,0.0816326528338192,0,0.0743149097725686,0.0796460181365808,0.0263157898518006,0.075757575806933,0.050168327951462,0.25,0.0677966094446998,0,0,0.136363637284091,0,0,0,0,0,0.0510638298180896,0,0.0406320527884371,0,0,0,0,0,0,0,0,0,0,0,0.00628930933181045,0,0,0,0,0,0,0,0,0.0555555556502058,0,0,0,0,0,0.0209302324844943,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857141510204,0.122448979591837,0,0,0,0,0,0,0,0.05,0,0.0145454546061752,0,0.0168067232703905,0
"Gastropoda",0,0.0615384616584615,0,0,0,0,0,0.125,0.210526315789474,0.12,0,0,0.111111110859494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0.0476190472365835,0,0,0.076923077,0,0,0,0,0.0233644860282557,0,0,0,0.013468013945289,0,0,0,0.0268456381663889,0,0,0.111111111888889,0,0.0453172203884868,0.0422535211267606,0.0200000001896,0,0,0.0296098460703083,0,0,0.0681818182262397,0.118819724407529,0.5,0.033898305459638,0.00804289641610483,0,0,0,0,0.0700636945676228,0,0,0.0272340423279457,0.142857142306122,0.0135440175961457,0,0,0,0,0,0,0,0,0,0,0.0447761199643573,0.00628930933181045,0,0,0,0.20000000022,0,0,0,0,0,0.666666667,0,0,0.428571428571429,0,0.00697674354056787,0,0,0,0,0,0,0.0666666673925926,0,0,0.0980392146612841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145454546061752,0,0,0
"Hexanauplia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145454546061752,0,0,0
"Holothuroidea",0,0.0153846161646154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267857137576531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676056338028169,0.0200000001896,0,0,0.0185787277157269,0.0530973445571305,0,0.0227272727420799,0.00712918304213473,0,0,0.00804289641610483,0,0,0,0,0,0,0.0139860133178151,0.0102127645134052,0,0,0,0,0,0,0.0120967742831523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555556502058,0,0,0,0,0,0.00697674354056787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malacostraca",0.240506328912033,0.79999999826,0.5,0,1,0.87500000065625,0.201438849171368,0.125,0.157894736842105,0.4,0.076923077,0.25,0.0582010581096974,0.152941176270865,0,0.30000000012,0.0833333334236111,0.2499999998125,0.0588235294117647,0.333333333,0.234042552922589,0.196428571252551,0,0.333333333,0,0,0,0.285714285714286,0.117647058605536,0,1,0.2,0,0.333333333,0,0.25,0,1,1,0.114285714066213,0,0,0.076923077,1,0.428571427183673,0.652173913270321,0.333333333333333,0.112149532935628,0.600000000537143,0.5,0.52941176550173,0.158249159604621,0.552238805992871,0.374999999694444,0,0.221476509550561,1,0.0487804875496728,0.555555554444444,0.62962962962963,0.0815709970998804,0.101408450704225,0.1399999997472,0.489795919390671,0.4,0.0594519273819193,0.150442477979716,0.789473684264543,0.492424242093549,0.0501683281366887,0,0.0847457629118069,0.284182305976723,0.317073170676978,0.318181818079545,0.293478261402706,0.780392156485629,0.0509554141746386,0.263157894500831,0.706293706227982,0.227234043053052,0.5,0.329571106500945,0.333333333333333,0.318181818004649,0.375000000234375,0.333333333333333,0.237903226221888,0.12,0.428571428571429,0.2,0.266666666503704,0,0.417910446732012,0.33647798723928,0.818181818181818,1,0.428571428571429,0.79999999978,1,0.499999997478261,0.576923076923077,0,0.555555554798354,0,1,1,0.571428571428571,0.0416666672083333,0.441860466459221,0.875,0.142857142857143,0.25,0.8,0.666666666666667,0.63265306122449,0.599999997977778,0,0.0412147507229874,0.215686275964629,0.103448275826397,0,0,0.4,0.674418604144943,1,0,0.0384615384215976,0,0,0,0,0,1,0,0.357142858489796,0.142857142857143,0,0,0,0,0.21739130476465,0,0.0666666662933333,0.75,1,0.359999999713745,0.940298508910671,0.495798318358873,0.166666666666667
