"","Abudefduf.abdominalis","Abudefduf.sordidus","Acanthurus.thompsoni","Anampses.cuvier","Apogon.erythrinus","Apolemichthys.arcuatus","Arothron.hispidus","Arothron.meleagris","Atherinomorus.insularum","Aulostomus.chinensis","Brotula.multibarbata","Cantherhines.dumerilii","Cantherhines.sandwichiensis","Canthigaster.amboinensis","Canthigaster.jactator","Caranx.melampygus","Centropyge.potteri","Cephalopholis.argus","Chaetodon.auriga","Chaetodon.fremblii","Chaetodon.kleinii","Chaetodon.lunula","Chaetodon.miliaris","Chaetodon.multicinctus","Chaetodon.ornatissimus","Chaetodon.quadrimaculatus","Chaetodon.unimaculatus","Chlorurus.sordidus","Chromis.leucura","Chromis.vanderbilti","Chromis.verater","Cirrhitops.fasciatus","Cirrhitus.pinnulatus","Coris.gaimard","Dascyllus.albisella","Diodon.holocanthus","Diodon.hystrix","Exallias.brevis","Fistularia.petimba","Forcipiger.flavissimus","Forcipiger.longirostris","Gomphosus.varius","Gymnomuraena.zebra","Gymnothorax.meleagris","Halichoeres.ornatissimus","Hemitaurichthys.thompsoni","Hemitaurichthys.zoster","Heteropriacanthus.cruentatus","Kyphosus.cinerascens","Macropharyngodon.geoffroy","Melichthys.niger","Monotaxis.grandoculis","Mulloidichthys.flavolineatus","Myripristis.amaena","Myripristis.kuntee","Myripristis.murdjan","Naso.hexacanthus","Neoniphon.sammara","Ostracion.meleagris","Oxycheilinus.orientalis","Paracirrhites.arcatus","Paracirrhites.forsteri","Parupeneus.cyclostomus","Parupeneus.forsskali","Parupeneus.multifasciatus","Parupeneus.porphyreus","Parupeneus.trifasciatus","Pervagor.spilosoma","Plectroglyphidodon.imparipennis","Plectroglyphidodon.johnstonianus","Plectroglyphidodon.sindonis","Plectrypops.lima","Pristiapogon.kallopterus","Pristiapogon.taeniopterus","Pseudocheilinus.octotaenia","Pterois.sphex","Rhinecanthus.rectangulus","Sargocentron.diadema","Sargocentron.punctatissimum","Sargocentron.tiere","Sargocentron.xantherythrum","Scorpaenopsis.cacopsis","Sebastapistes.coniorta","Stegastes.fasciolatus","Stethojulis.balteata","Sufflamen.bursa","Synodus.variegatus","Thalassoma.duperrey","Thalassoma.trilobatum","Xanthichthys.ringens","Zanclus.cornutus"
"Actinopterygii",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0
"Anthozoa",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Asteroidea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"Bivalvia",0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
"Bryozoa",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
