"","Abudefduf.sexfasciatus","Abudefduf.sparoides","Acanthurus.triostegus","Amanses.scopas","Amblygobius.sphynx","Amphiprion.akallopisos","Amphiprion.latifasciatus","Antennablennius.velifer","Apogonichthyoides.timorensis","Archamia.fucata","Arothron.hispidus","Arothron.immaculatus","Arothron.nigropunctatus","Asterropteryx.semipunctata","Balistapus.undulatus","Blenniella.periophthalmus","Bothus.pantherinus","Calotomus.spinidens","Cantherhines.sandwichiensis","Canthigaster.margaritata","Canthigaster.valentini","Centropyge.bispinosa","Cephalopholis.argus","Chaetodon.auriga","Chaetodon.blackburnii","Chaetodon.guttatissimus","Chaetodon.melannotus","Chaetodon.trifasciatus","Chaetodon.vagabundus","Cheilinus.trilobatus","Cheilio.inermis","Cheilodipterus.quinquelineatus","Chlorurus.sordidus","Chromis.dimidiata","Chromis.ternatensis","Chromis.weberi","Chrysiptera.annulata","Chrysiptera.biocellata","Chrysiptera.brownriggii","Cirripectes.variolosus","Cociella.crocodilus","Conger.cinereus","Coris.caudimacula","Corythoichthys.intestinalis","Ctenochaetus.striatus","Dascyllus.aruanus","Dascyllus.trimaculatus","Dinematichthys.iluocoeteoides","Diplogrammus.infulatus","Echelus.uropterus","Echidna.polyzona","Enneapterygius.hemimelas","Epinephelus.fasciatus","Epinephelus.hexagonatus","Epinephelus.longispinis","Epinephelus.macrospilos","Epinephelus.merra","Eviota.prasina","Foa.brachygramma","Fowleria.aurita","Fusigobius.neophytus","Gnatholepis.cauerensis","Gomphosus.varius","Grammistes.sexlineatus","Gymnothorax.undulatus","Halichoeres.hortulanus","Halichoeres.scapularis","Halichoeres.timorensis","Haliophis.guttatus","Hippichthys.cyanospilos","Istiblennius.edentulus","Istigobius.spence","Labroides.dimidiatus","Leiuranus.semicinctus","Lepadichthys.coccinotaenia","Leptoscarus.vaigiensis","Lethrinus.crocineus","Lethrinus.harak","Lethrinus.obsoletus","Lutjanus.fulviflamma","Lutjanus.gibbus","Lutjanus.johnii","Moringua.microchir","Myripristis.murdjan","Nectamia.savayensis","Neoniphon.sammara","Novaculoides.macrolepidotus","Oplopomus.oplopomus","Ostorhinchus.angustatus","Ostorhinchus.cyanosoma","Ostorhinchus.endekataenia","Ostracion.meleagris","Oxycheilinus.bimaculatus","Parascorpaena.aurita","Parascorpaena.picta","Parupeneus.barberinus","Parupeneus.macronemus","Pempheris.oualensis","Pervagor.melanocephalus","Petroscirtes.mitratus","Plagiotremus.rhinorhynchos","Plectorhinchus.gaterinus","Plectroglyphidodon.dickii","Plectroglyphidodon.lacrymatus","Plesiops.coeruleolineatus","Pomacanthus.chrysurus","Pomacanthus.semicirculatus","Pomacentrus.caeruleus","Pomacentrus.sulfureus","Pomacentrus.tripunctatus","Pristiapogon.fraenatus","Pristiapogon.kallopterus","Pseudocheilinus.hexataenia","Pseudochromis.natalensis","Pseudogramma.polyacantha","Pteragogus.flagellifer","Pterois.volitans","Rhinecanthus.aculeatus","Salarias.fasciatus","Salarias.sinuosus","Sargocentron.diadema","Saurida.gracilis","Scarus.sp","Scorpaenodes.guamensis","Scorpaenopsis.gibbosa","Sebastapistes.cyanostigma","Sebastapistes.nuchalis","Sebastapistes.strongia","Siganus.canaliculatus","Stegastes.fasciolatus","Stethojulis.balteata","Stethojulis.strigiventer","Sufflamen.chrysopterum","Syngnathoides.biaculeatus","Synodus.variegatus","Thalassoma.hardwicke","Thalassoma.hebraicum","Vanderhorstia.ornatissima","Zebrasoma.flavescens"
"Actinopterygii",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
"Anthozoa",0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
"Bivalvia",0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Decapoda",1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"Detritus",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Foraminifera",1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
