"","Abalistes.stellaris","Acanthopagrus.berda","Acanthurus.blochii","Albula.sp","Anyperodon.leucogrammicus","Apogon.ellioti","Apogon.hyalosoma","Aprion.virescens","Arothron.hispdus","Arothron.manilensis","Arothron.stellatus","Asterorhombus.intermedius","Atule.mate","Bodianus.perditio","Carangoides.chrysophrys","Carangoides.coeruleopinnatus","Carangoides.ferdau","Carangoides.fulvoguttatus","Carangoides.gymnostethus","Carangoides.orthogrammus","Carangoides.sp","Caranx.ignobilis","Caranx.papuensis","Caranx.sexfasciatus","Caranx.sp","Carcharhinus.albimarginatus","Carcharhinus.melanopterus","Cephalopholis.argus","Cephalopholis.boenak","Cephalopholis.miniata","Cephalopholis.sonnerati","Chanos.chanos","Cheilinus.chlorourus","Cheilinus.undulatus","Cheilodipterus.macrodon","Chirocentrus.dorab","Choerodon.graphicus","Coris.aygula","Cymbacephalus.staigeri","Dactyloptena.orientalis","Dendrochirus.brachypterus","Diagramma.pictum","Drepane.punctata","Echeneis.naucrates","Elops.machnata","Engyprosopon.grandisquama","Epinephelus.areolatus","Epinephelus.coeruleopunctatus","Epinephelus.coioides","Epinephelus.cyanopodus","Epinephelus.fasciatus","Epinephelus.howlandi","Epinephelus.macrosplos","Epinephelus.maculatus","Epinephelus.malabaricus","Epinephelus.merra","Epinephelus.ongus","Epinephelus.polyphekadion","Epinephelus.rivulatus","Gazza.minuta","Gerres.filamentosus","Grammatobothus.polyophthalmus","Gymnocranius.euanus","Gymnocranius.grandoculis","Gymnocranius.sp","Hemiramphus.far","Kyphosus.vaigiensis","Lagocephalus.sceleratus","Leptomelanosoma.indicum","Lethrinus.atkinsoni","Lethrinus.genivittatus","Lethrinus.harak","Lethrinus.lentjan","Lethrinus.nebulosus","Lethrinus.obsoletus","Lethrinus.olivaceus","Lethrinus.rubrioperculatus","Lethrinus.semicinctus","Lethrinus.xanthochilus","Lutjanus.adetii","Lutjanus.argentimaculatus","Lutjanus.bohar","Lutjanus.fulviflamma","Lutjanus.fulvus","Lutjanus.gibbus","Lutjanus.kasmira","Lutjanus.quinquelineatus","Lutjanus.rivulatus","Lutjanus.russellii","Lutjanus.sebae","Lutjanus.semicinctus","Lutjanus.vitta","Megalops.cyprinoides","Monodactylus.argenteus","Monotaxis.grandoculis","Mulloidichthys.flavolineatus","Muraenesox.bagio","Naso.unicornis","Nemipterus.peronii","Nemipterus.zysron","Neoniphon.sammara","Neopomacentrus.nemurus","Neotrygon.kuhlii","Onigocia.macrolepis","Parupeneus.ciliatus","Parupeneus.heptacanthus","Parupeneus.indicus","Platax.orbicularis","Platax.pinnatus","Plectorhinchus.albovittatus","Plectorhinchus.chaetodonoides","Plectorhinchus.gibbosus","Plectorhinchus.lineatus","Plectorhinchus.picus","Plectropomus.leopardus","Pomacentrus.adelus","Pomadasys.argenteus","Priacanthus.hamrur","Pseudalutarius.nasicornis","Pseudobalistes.fuscus","Pseudocaranx.dentex","Pterois.lunulata","Sargocentron.diadema","Sargocentron.rubrum","Sargocentron.spniferum","Saurida.gracilis","Saurida.undosquamis","Scatophagus.argus","Scolopsis.taenioptera","Scomberoides.tol","Scomberomorus.commerson","Siganus.argenteus","Siganus.doliatus","Siganus.fuscescens","Siganus.lineatus","Siganus.punctatus","Sillago.ciliata","Sillago.sihama","Sillago.sp","Sphyraena.acutipinnis","Sphyraena.barracuda","Sphyraena.forsteri","Sphyraena.jello","Sphyraena.obtusata","Sphyraena.pinguis","Sphyraena.putnamae","Sphyrna.lewini","Strophidon.sathete","Sufflamen.fraenatum","Symphorus.nematophorus","Synodus.dermatogenys","Synodus.hoshinonis","Synodus.sp","Synodus.variegatus","Terapon.jarbua","Trichiurus.lepturus","Tylosurus.crocodilus","Upeneus.australiae","Upeneus.japonicus","Upeneus.moluccensis","Upeneus.tragula","Upeneus.vittatus","Variola.louti","Zebrasoma.veliferum"
"Actinopterygii",1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"Anthozoa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bivalvia",1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
"Cephalopoda",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
