"","Abudefduf.saxatilis","Abudefduf.taurus","Acanthostracion.polygonius","Acanthostracion.quadricornis","Acanthurus.bahianus","Acanthurus.chirurgus","Acanthurus.coeruleus","Aetobatus.narinari","Alphestes.afer","Aluterus.schoepfii","Aluterus.scriptus","Amblycirrhitus.pinos","Anisotremus.surinamensis","Anisotremus.virginicus","Antennarius.multiocellatus","Antennarius.striatus","Apogon.maculatus","Archosargus.rhomboidalis","Atherinomorus.stipes","Aulostomus.maculatus","Balistes.vetula","Bodianus.rufus","Bothus.lunatus","Bothus.ocellatus","Calamus.bajonado","Calamus.calamus","Calamus.pennatula","Cantherhines.macrocerus","Cantherhines.pullus","Canthidermis.sufflamen","Canthigaster.rostrata","Carangoides.bartholomaei","Caranx.crysos","Caranx.latus","Caranx.ruber","Centropyge.argi","Cephalopholis.cruentata","Cephalopholis.fulva","Chaetodipterus.faber","Chaetodon.capistratus","Chaetodon.sedentarius","Chilomycterus.antennatus","Chromis.cyanea","Chromis.multilineata","Clepticus.parrae","Coryphopterus.glaucofraenum","Dactylopterus.volitans","Dasyatis.americana","Decapterus.punctatus","Diodon.holocanthus","Diodon.hystrix","Diplodus.caudimacula","Echeneis.naucrates","Echidna.catenata","Entomacrodus.nigricans","Epinephelus.adscensionis","Epinephelus.guttatus","Epinephelus.itajara","Epinephelus.striatus","Equetus.lanceolatus","Equetus.punctatus","Eucinostomus.argenteus","Euthynnus.alletteratus","Gerres.cinereus","Ginglymostoma.cirratum","Gnatholepis.thompsoni","Gobioclinus.guppyi","Gymnothorax.moringa","Gymnothorax.vicinus","Haemulon.album","Haemulon.aurolineatum","Haemulon.carbonarium","Haemulon.chrysargyreum","Haemulon.flavolineatum","Haemulon.macrostomum","Haemulon.parra","Haemulon.plumierii","Haemulon.sciurus","Haemulon.vittatum","Halichoeres.bivittatus","Halichoeres.garnoti","Halichoeres.maculipinna","Halichoeres.poeyi","Halichoeres.radiatus","Harengula.clupeola","Harengula.humeralis","Hemiramphus.balao","Hemiramphus.brasiliensis","Heteroconger.longissimus","Heteropriacanthus.cruentatus","Holacanthus.ciliaris","Holacanthus.tricolor","Holocentrus.adscensionis","Holocentrus.rufus","Hypoatherina.harringtonensis","Hypoplectrus.aberrans","Hypoplectrus.chlorurus","Hypoplectrus.nigricans","Hypoplectrus.puella","Jenkinsia.lamprotaenia","Kyphosus.incisor","Kyphosus.sectatrix","Labrisomus.nuchipinnis","Lachnolaimus.maximus","Lactophrys.bicaudalis","Lactophrys.trigonus","Lactophrys.triqueter","Lutjanus.analis","Lutjanus.apodus","Lutjanus.cyanopterus","Lutjanus.griseus","Lutjanus.jocu","Lutjanus.mahogoni","Malacanthus.plumieri","Melichthys.niger","Microspathodon.chrysurus","Monacanthus.ciliatus","Monacanthus.tuckeri","Mugil.curema","Mulloidichthys.martinicus","Mycteroperca.bonaci","Mycteroperca.interstitialis","Mycteroperca.tigris","Mycteroperca.venenosa","Myrichthys.breviceps","Myrichthys.ocellatus","Myripristis.jacobus","Neoniphon.marianus","Ocyurus.chrysurus","Odontoscion.dentex","Ogcocephalus.nasutus","Oligoplites.saurus","Ophichthus.ophis","Ophioblennius.atlanticus","Opisthonema.oglinum","Opistognathus.aurifrons","Opistognathus.maxillosus","Opistognathus.whitehursti","Parablennius.marmoreus","Paranthias.furcifer","Pareques.acuminatus","Pempheris.schomburgkii","Phaeoptyx.conklini","Platybelone.argalus","Pomacanthus.arcuatus","Pomacanthus.paru","Priacanthus.arenatus","Prognathodes.aculeatus","Pseudupeneus.maculatus","Remora.remora","Rypticus.saponaceus","Sargocentron.coruscum","Sargocentron.vexillarium","Scartella.cristata","Scarus.coelestinus","Scarus.guacamaia","Scarus.iseri","Scarus.taeniopterus","Scarus.vetula","Scomberomorus.cavalla","Scomberomorus.regalis","Scorpaena.brasiliensis","Scorpaena.grandicornis","Scorpaena.inermis","Scorpaena.plumieri","Scorpaenodes.caribbaeus","Selar.crumenophthalmus","Seriola.dumerili","Serranus.tigrinus","Sparisoma.aurofrenatum","Sparisoma.chrysopterum","Sparisoma.radians","Sparisoma.rubripinne","Sparisoma.viride","Sphoeroides.spengleri","Sphyraena.barracuda","Sphyraena.picudilla","Stegastes.fuscus","Stegastes.leucostictus","Stegastes.planifrons","Stegastes.variabilis","Strongylura.timucu","Synodus.foetens","Synodus.intermedius","Thalassoma.bifasciatum","Trachinotus.falcatus","Trachinotus.goodei","Tylosurus.acus","Tylosurus.crocodilus","Xyrichtys.novacula","Xyrichtys.splendens"
"Actinopterygii",1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
"Anthozoa",1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cirripedia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
