"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Actinopterygii",0.89,0.218,0,0.184466019417476,0.9725,0.541666666666667,0.189121933878422,0,0.9505,0.308714133900106,0.735,0.0114531138153185,0,0.888,0.1,0.443225547067946,0,0,0.332997987927565,0,0.0122733563712647,0.553148175076342,0,0,0,0.1141689373297,0.0228480340063762,0.132478632478632,0.384615384615385,0.714242546333602,0.820281124497992,0.0456453305351521,0.00983493130374617,0.655549166187464,0,0,0,0.105,0.149949681314995,0.153751839136832,0.05,0,0,0,0,0.0159806295399516,0,0,0.00404157043879908,0,0.875,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361237084686159,0,0,0,0,0,0,0,0,0,0,0.100865687303253,0.00148265296036374,0,0,0,0,0,0,0,0,0.271,0.31956155143339,0.036036036036036,0.000333667000333667,0.00397094430992736,0.0445563012677107,0.0881675874769797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174494692453105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152328891132718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677966101694915,0,0.0193370165745856,0.0219399538106236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0,0,0.0065599580162687,0,0,0,0,0,0.430393198724761,0,0,1,0,0,0,0,0,0,0,0,0,0.329967689822294,1,0,0,0,0,0,0,0,0.302465897166842,0.490659286349708,0,0.313131313131313,0.467875,0,0,0,0,0,0.073,0,0.185435435435435,0.5337003670337,0.381598062953995,0.327181208053691,0.0810313075506446,0.140011547344111,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0.108,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0.000402044684394923,0,0,0,0,0.0442189009688118,0.00174494692453105,0.0890549273021002,0,0.134878819810327,0.00163487738419619,0.105207226354942,0,0,0.0212530217566479,0,0.00144281217208814,0.0603933972521499,0,0.0505050505050505,0,0,0,0,0,0.072,0,0,0,0,0.0222760290556901,0.0046607009694258,0.0278545119705341,0.122401847575058,0.0860860860860861,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000348180322589069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175175175175175,0,0,0.00428784489187174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0.11,0,0,0,0.025,0.0416666666666667,0.177746178457163,0,0,0,0,0,0,0.1025,0,0.0106829016139222,0,0,0.0558350100603622,0,0.00435225403236336,0.0420968445543115,0,0,0,0,0,0,0,0.00141015310233682,0.155957161981258,0,0.0021251359098547,0.0166762507188039,0,0,0,0,0,0.015203531142717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.00165385653229808,0,0,0,0,0,0,0,0,0,0,0.00393494228751312,0.000247108826727291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0,0.252,0,0.0448701128312779,0.0025,0.416666666666667,0.534660504799147,0.025,0.03625,0,0.265,0.729241231209735,0,0,0,0.438401010855206,0.355846774193548,0.429923122412773,0.346579476861167,0,0.301550272886328,0.305438417914788,0.184975767366721,0,0.293466807165437,0.699455040871935,0.424017003188098,0.212606837606838,0,0.024576954069299,0.00133868808567604,0.0138378803777545,0.0971631906691707,0.246118458884416,0,0,0.725,0.349,0.293861120429386,0.812653261402648,0.671,0,0,0,0,0.0721549636803874,0.0262863534675615,0.199355432780847,0.241339491916859,0.171838505171839,0.0625,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160020986358867,0,0,0.313131313131313,0.467875,0,0,0,0,0,0,0,0.125125125125125,0.464631297964631,0,0.0967561521252796,0,0.0164549653579677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0.0248844649840028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168432231052462,0,0.11732633279483,0,0,0,0.00212539851222104,0.0288461538461539,0,0.0251813053988719,0,0,0.0337056439656025,0,0,0,0,0.105,0,0,0,0,0.0480607082630691,0,0,0.121065375302663,0.000186428038777032,0.0446593001841621,0.0617782909930716,0.154154154154154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
