"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Centropyge argi","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Dasyatis americana","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus incisor","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mugil curema","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus guacamaia","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Achelata",0,0,0,0,0,0,0,0,0,0,0,0,0.00506688285366842,0,0,0,0,0,0,0,0.00408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729872881355932,0.0352112676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193679918450561,0,0,0.009,0.0847628657921292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actiniaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346851654215582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343087790110999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii",0.0467289719626168,0,0,0,0,0,0,0,0.07502679528403,0,0,0,0.0152006485610053,0,0.75,1,0,0,0.2,0.735,0.00816326530612245,0,0.857,0.382949932341001,0,0,0,0,0,0,0,1,0.879676440849343,0.871,0.915915915915916,0,0.662,0.477673935617861,0,0,0,0,0,0,0,0,0.05,0.218,0,0,0,0,0.666666666666667,0,0,0.209375,0.218200620475698,0.140889830508475,0.543259557344064,0,0.00516129032258065,0,0.567,0,0.89,0,0,1,0.625,0.0210970464135021,0,0.00700350175087544,0.00428724544480171,0,0,0,0.0359869138495093,0.0311827956989247,0.033,0.0336842105263158,0.0382165605095541,0,0.056369785794814,0,0,0.61734693877551,0.443310657596372,0.19,0,0.290485829959514,0,0,0,0.0133630289532294,0,0.146371463714637,0.267952840300107,0.442,0.1,0,0,0,0.105,0,0,0,0,0.303771661569827,0.645744680851064,1,0.391,0.612512613521695,0.75,0.132478632478632,0.0319258496395469,0.00105932203389831,0,0,0,0,1,1,1,0.953,0,0.039360393603936,0,0,0.156476683937824,0.378,0.088,0.987,0.5,0,0.098,0,0.227,0.22,0,0,0.041340782122905,0,0,0.97,0,0,0.375,0,0.0477777777777778,0.142857142857143,0.479,0,0.0528455284552845,0,0,0,0,0,0,0.923,0.972672064777328,0,0.142857142857143,0.0032017075773746,0.422,0.0847084708470847,0.596,1,0.0986775178026449,0,0,0,0,0,0.00792751981879955,0.955,0.821,0.0540242557883131,0.24373795761079,0,0,0.96,1,0.945,0.103080568720379,0,0.852,0.963,0.909,0,0
"Algae",0.0913811007268951,0.94,0,0.0813559322033898,0.459,0.4695,0.465396188565697,0,0,0.318,0.342,0,0,0,0,0,0,0.388,0,0,0.0489795918367347,0,0,0,0,0,0.444444444444444,0.029,0,0.0282685512367491,0.0129564193168433,0,0,0,0,0.5,0,0,0.05,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0.377551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255102040816327,0,0,0,0,0.014,0.275862068965517,0,0,0,0,0,0,0,0,1,0.995,0,0,0.0833333333333333,0.0509885535900104,0.00991189427312775,0,0,0,0,0,0,0,0.729145211122554,0.472987288135593,0.118303571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0.4975,0,0,0,0,0.396,0,0,0,0,0,0.0858324715615305,0.134,0,0,0,0,0,0,0,0.496,0.980846774193548,0.92,1,0.812,0.94,0,0,0,0,0,0,0,0,0,0,0.978,0.832,0.12,0.926,0.973,0.0198187995469989,0,0,0.30981256890849,0.108863198458574,0.204355108877722,0.355662983425414,0,0,0,0,0,0,0,0,0,0
"Amphipoda",0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0.0211693548387097,0,0.0316122233930453,0,0,0.00801832760595647,0.002,0,0,0.00122448979591837,0,0,0,0,0,0,0,0.00186915887850467,0.0706713780918728,0.0365135453474676,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438614900314795,0,0.00423280423280423,0,0.0408163265306122,0,0,0,0.00527426160337553,0.037280701754386,0.00200100050025012,0.0610932475884244,0.00615384615384615,0,0.0716448032290616,0.0054525627044711,0.0204301075268817,0,0,0,0.052415210688592,0,0,0,0,0,0,0,0.00708502024291498,0,0,0,0,0,0,0,0,0,0.0457280385078219,0,0,0.053,0.01,0,0.0187304890738814,0.0143171806167401,0,0,0,0,0,0,0.0170940170940171,0,0.00105932203389831,0.0602678571428572,0.0321543408360129,0,0.0437881873727088,0,0,0,0,0,0,0.0329218106995885,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0.0336590662323561,0.00335195530726257,0.0113168724279835,0.229828850855746,0,0,0,0,0,0.02,0.114285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645526613816535,0,0,0.0132304299889746,0.0154142581888247,0,0.0117403314917127,0,0,0,0,0,0,0,0,0.00670391061452514,0.131578947368421
"Annelida",0.00934579439252337,0,0,0.0203389830508475,0,0.002,0,0,0,0,0,0.121975806451613,0.00405350628293474,0.147523709167545,0,0,0.0423825887743414,0.004,0,0,0.0857142857142857,0.00205761316872428,0,0,0.0672016048144433,0.201047120418848,0.0777777777777778,0,0,0,0.0848056537102473,0,0,0,0,0,0,0,0.137,0.377403846153846,0.626467449306297,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0.036,0,0.0206825232678387,0,0,0.313,0.0696774193548387,0.204616998950682,0.067,0.134391534391534,0,0,0,0,0,0.158227848101266,0.339912280701754,0.080040020010005,0.204715969989282,0.406153846153846,0,0.029263370332997,0.158124318429662,0.0537634408602151,0.013,0.183157894736842,0.0700636942675159,0.484069886947585,0.0214205186020293,0.0141557128412538,0.05,0.295918367346939,0.100907029478458,0,0,0.17004048582996,0,0,0.0436241610738255,0.0501113585746102,0,0,0,0,0,0,0,0,0.1,0,0.0714285714285714,0.0894901144640999,0.3215859030837,0,0,0,0,0,0,0.0769230769230769,0,0,0.046875,0,0,0.189409368635438,0,0,0,0,0,0.014760147601476,0.0720164609053498,0,0,0,0.044,0,0,0,0.224,0.00305810397553517,0.143,0,0.092,0,0,0.280864197530864,0.0721271393643032,0,0,0,0.111,0.638474295190713,0.147777777777778,0,0,0,0.040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860702151755379,0,0,0.061742006615215,0.208092485549133,0.0938023450586265,0,0,0,0,0.0604265402843602,0,0,0,0,0.0837988826815642,0
"Anomura",0,0.003,0,0.0937853107344633,0,0,0,0,0,0.006,0,0,0.0293879205512769,0.00632244467860906,0,0,0,0,0,0,0.0775510204081633,0.0380658436213992,0,0,0.0110330992978937,0.140314136125654,0.0444444444444444,0,0,0,0.0270906949352179,0,0,0,0.004004004004004,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0.042,0.0591775325977934,0,0,0,0,0,0,0,0.0120724346076459,0,0.145806451612903,0,0,0,0,0,0,0,0,0.00527426160337553,0.0482456140350877,0,0.00857449088960343,0.00820512820512821,0,0,0,0.00032258064516129,0,0.00947368421052632,0.0382165605095541,0,0.0574971815107103,0.0455005055611729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0.00416233090530697,0.0253303964757709,0.0285423037716616,0,0,0,0,0,0,0.0123583934088568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592178770949721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0.0101925254813137,0,0,0.00330760749724366,0.00963391136801542,0,0,0,0,0,0,0.061,0.009,0.014,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0,0,0.00760032428050264,0,0,0,0,0,0,0,0.000816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124352331606218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0.0177340899878395,0,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0.0447585394581861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.0249739854318418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
