"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Centropyge argi","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus incisor","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mugil curema","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus guacamaia","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Actinopterygii",0.0467289719626168,0,0,0,0,0,0,0,0.07502679528403,0,0,0,0.0152006485610053,0,0.75,1,0,0,0.2,0.735,0.00816326530612245,0,0.857,0.382949932341001,0,0,0,0,0,0,0,1,0.879676440849343,0.871,0.915915915915916,0,0.662,0.477673935617861,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.666666666666667,0,0,0.209375,0.218200620475698,0.140889830508475,0.543259557344064,0,0.00516129032258065,0,0.567,0,0.89,0,0,1,0.625,0.0210970464135021,0,0.00700350175087544,0.00428724544480171,0,0,0,0.0359869138495093,0.0311827956989247,0.033,0.0336842105263158,0.0382165605095541,0,0.056369785794814,0,0,0.61734693877551,0.443310657596372,0.19,0,0.290485829959514,0,0,0,0.0133630289532294,0.218,0,0.146371463714637,0.267952840300107,0.442,0.1,0,0,0,0.105,0,0,0,0,0.303771661569827,0.645744680851064,1,0.391,0.612512613521695,0.75,0.132478632478632,0.0319258496395469,0.00105932203389831,0,0,0,0,1,1,1,0.953,0,0.039360393603936,0,0,0.156476683937824,0.378,0.088,0.987,0.5,0,0.098,0,0.227,0.22,0,0,0.041340782122905,0,0,0.97,0,0,0.375,0,0.0477777777777778,0.142857142857143,0.479,0,0.0528455284552845,0,0,0,0,0,0,0.923,0.972672064777328,0,0.142857142857143,0.0032017075773746,0.422,0.0847084708470847,0.596,1,0.098677517802645,0,0,0,0,0,0.00792751981879955,0.955,0.821,0.0540242557883131,0.24373795761079,0,0,0.96,1,0.945,0.103080568720379,0,0.852,0.963,0.909,0,0
"Anthozoa",0.448598130841122,0.053,0.310666666666667,0.169491525423729,0,0,0.00100300902708124,0,0,0,0.15,0,0.00760032428050264,0,0,0,0,0,0,0,0.00897959183673469,0,0,0,0,0,0,0.048,0.0766355140186916,0,0,0,0,0,0,0,0,0,0.271,0.520432692307692,0.346851654215582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343087790110999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617919670442842,0.0233050847457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062047569803516,0.063,0,0,0,0,0,0,0,0,0.00201612903225806,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0.001,0,0,0,0.0330760749724366,0.0144508670520231,0.33500837520938,0.0234806629834254,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124352331606218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0.0177340899878395,0,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0.0447585394581861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.0249739854318418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.0913811007268951,0.94,0,0.115254237288136,0.541,0.5265,0.533600802407222,0,0,0.988,0.432,0,0,0,0,0,0,0.834,0,0,0.0489795918367347,0,0,0,0,0,0.444444444444444,0.029,0.0859813084112149,0.0282685512367491,0.202591283863369,0,0,0,0,0.5,0,0,0.073,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0.377551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255102040816327,0,0.81,0,0,0.014,0.275862068965517,0,0,0,0,0,0,0,0,0,1,1,0,0,0.178571428571429,0.0822060353798127,0.0231277533039648,0,0,0,0,0,0,0,0.774459320288363,0.472987288135593,0.290178571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0.4975,0,0,0,0,0.396,0,0,0,0,0,0.0868665977249224,0.135,0,0,0,0,0,0,0,0.496,0.993951612903226,1,1,0.985,0.972,0,0,0,0,0,0,0,0,0,0,0.991,1,1,0.996,0.998,0.079841449603624,0,0,0.330760749724366,0.108863198458574,0.269681742043551,0.355662983425414,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0.00338983050847458,0,0,0,0.466,0,0,0,0,0.0131738954195379,0.0579557428872497,0,0,0,0.034,0,0,0.187755102040816,0.0823045267489712,0,0,0.134403209628887,0.157068062827225,0.0683333333333333,0,0.00373831775700935,0,0.0612485276796231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.072,0,0.128,0.130391173520562,0,0,0,0,0,0,0,0.00704225352112676,0,0.00774193548387097,0.0272822665267576,0,0.243386243386243,0,0,0,0,0,0.0569620253164557,0.0175438596491228,0,0.157556270096463,0.0328205128205128,0,0.0282542885973764,0.0141766630316249,0.161290322580645,0,0.0389473684210526,0.089171974522293,0.0246659815005139,0.0248027057497182,0.253791708796764,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0.426,0,0.105098855359001,0.0187224669603524,0,0,0,0,0,0,0,0,0,0.0256696428571429,0,0,0.133401221995927,0,0,0,0,0,0,0,0,0.0124352331606218,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181200453001133,0,0,0.00551267916207277,0,0,0.00828729281767956,0,0,0,0,0.172,0.039,0,0,0.311731843575419,0.0347368421052632
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429906542056075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105485232067511,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103412616339193,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0.0267952840300107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0.014014014014014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723888314374354,0,0.0523138832997988,0,0,0,0.366,0,0.11,0,0,0,0.125,0,0,0,0.00214362272240086,0.0338461538461538,0,0,0,0.0161290322580645,0,0,0,0.0441932168550874,0,0,0,0,0,0,0,0.090080971659919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316004077471967,0.0367021276595745,0,0,0.0928355196770938,0.094,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0.0393782383419689,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.0232793522267206,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0.026,0.179,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
"Cirripedia",0.0311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190095047523762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0,0.003,0.133333333333333,0.0971751412429379,0,0,0,0,0.898177920685959,0.006,0.003,0.355846774193548,0.158086745034455,0.331928345626976,0.125,0,0.832760595647194,0.048,0,0.265,0.33469387755102,0.433127572016461,0,0.579161028416779,0.23370110330993,0.27434554973822,0.196111111111111,0,0.00186915887850467,0,0.176678445229682,0,0.0596562184024267,0.038,0.038038038038038,0,0.211,0.393561786085151,0,0,0,0.228,0,0,0,0,0.671,0,0.079,0.208625877632899,0.1,0,1,0,0.740625,0.517063081695967,0.859110169491525,0.323943661971831,0.687,0.855483870967742,0.256033578174187,0,0.331216931216931,0,0,0.725,0,0.25,0.126582278481013,0.457236842105263,0.424212106053027,0.386923901393355,0.201025641025641,0.0834213305174234,0.715438950554995,0.346782988004362,0.397096774193548,0,0.281052631578947,0.363057324840764,0.0986639260020555,0.333709131905299,0.235591506572295,0,0,0,0,0.025,0.246963562753036,0,0,0.938478747203579,0.800668151447661,0.252,0,0.768757687576876,0.732047159699893,0.47,0.721,0,0,0,0.349,0.11,0.0476190476190476,0.474505723204995,0.202643171806167,0.523955147808359,0.272872340425532,0,0.541,0.240161453077699,0.156,0.212606837606838,0.0690010298661174,0.0127118644067797,0.146205357142857,0,0,0.283095723014257,0,0,0,0.008,0.86,0.792127921279213,0.465020576131687,0.949250288350634,0.409326424870466,0.432,0.475,0,0,0,0.171,0,0.286,0.59,0,0.129207383279045,0.877094972067039,0,0,0,0,0,0.445,0,0.577777777777778,0,0.438,1,0.273373983739837,0,0,0,0,0,0,0,0.00404858299595142,1,0.857142857142857,0.91675560298826,0.516,0.915291529152915,0,0,0.810783316378433,0,0,0,0,0,0.303510758776897,0,0,0.0363836824696803,0.0472061657032755,0,0.0117403314917127,0.04,0,0.005,0.231042654028436,0.1,0.009,0.014,0.091,0.070391061452514,0
