site_code;item_raw;item_class;item_ord;grp1;grp2;grp3;grp4;grp5;grp6;grp7
haw;Algae_frags;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
haw;Pelecypod_larvae;Bivalvia;NA;Zooplankton;Bivalvia;Zooplankton;Bivalvia;Zooplankton;Zooplankton;Zooplankton
haw;Calanoida;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
haw;Cyclopoida;Hexanauplia;Cyclopoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
haw;Harpacticoida;Hexanauplia;Harpacticoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
haw;Nauplius_larvae;NA;NA;Zooplankton;Crustacea;Zooplankton;Crustacea;Zooplankton;Zooplankton;Zooplankton
haw;Bluegreen algae;NA;NA;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
haw;Fish_eggs;Actinopterygii;NA;Zooplankton;Fish;Zooplankton;Fish;Zooplankton;Zooplankton;Zooplankton
haw;Veliger_larvae;Gastropoda;NA;Zooplankton;Gastropoda;Zooplankton;Gastropoda;Zooplankton;Zooplankton;Zooplankton
haw;Polychaetes;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
haw;Penaeidae_larvae;Malacostraca;Decapoda;Zooplankton;Shrimp;Zooplankton;Shrimp;Zooplankton;Zooplankton;Zooplankton
haw;Larvaceans;Appendicularia;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
mari;Algae_filaments_fronds;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
mari;Calanoida;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
mari;Isopods;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
mari;Ostracods;Ostracoda;NA;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Zooplankton;Zooplankton
vir;Dictyota_dentata;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Dictyota_divaricata;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Dictyopteris_plagiogramma;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Dictyopteris_delicatula;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Champia_parvula;Florideophyceae;Rhodymeniales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Hypnea_spinella;Florideophyceae;Gigartinales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Bryopsis_pennata;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Cladophora_delicatula;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ceramium_sp;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Laurencia_papillosa;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Polysiphonia_sp;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Barnacle appendages;Hexanauplia;NA;Cirripedia;Cirripedia;Hexanauplia;Cirripedia;Cirripedia;Cirripedia;Crustacea
vir;Euterpina_acutifrons;Hexanauplia;Harpacticoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Euchaeta_marina;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Candacia_pachydactyla;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Microstella_norvegica;Hexanauplia;Harpacticoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Corycaeus_subulatus;Hexanauplia;Poecilostomatoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Nannocalanus_minor;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Copepods;Hexanauplia;NA;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Scolecithrix_danae;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Miracia_minor;Hexanauplia;Harpacticoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Oncaea_sp;Hexanauplia;Poecilostomatoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Jania_rubens;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
vir;Lyngbya_majuscula;Cyanophyceae;Oscillatoriales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Fish_eggs;Actinopterygii;NA;Zooplankton;Fish;Zooplankton;Fish;Zooplankton;Zooplankton;Zooplankton
vir;Jenkinsia_sp;Actinopterygii;Clupeiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Opisthobranchia_Tridachia_crispata;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Siphonophores;Hydrozoa;Siphonophorae;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
vir;Ants;Insecta;Hymenoptera;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta
vir;Polychaetes;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
vir;Shrimp_larvae;Malacostraca;Decapoda;Zooplankton;Shrimp;Zooplankton;Shrimp;Zooplankton;Zooplankton;Zooplankton
vir;Appendicularians;Appendicularia;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
vir;Zoanthus_sociatus;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Anthozoa;Anthozoa
mari;Algae_fronds;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Copepods;Hexanauplia;NA;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
mari;Fish_frags;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
mari;Palaemonidae_larvae;Malacostraca;Decapoda;Zooplankton;Shrimp;Zooplankton;Shrimp;Zooplankton;Zooplankton;Zooplankton
mad;Filamentous_algae;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mad;Amphipodes;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
mad;Calanoida;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
mad;Brachyura_larvae;Malacostraca;Decapoda;Zooplankton;Crab;Zooplankton;Crab;Zooplankton;Zooplankton;Zooplankton
