;grp_raw;grp;item_class;item_ord_cor;item_cor
1;Acariens;Arachnida;Arachnida;NA;Acari
7;Actiniaires;Actiniaria;Anthozoa;Actiniaria;Actiniaria
15;Alcyonacea;Alcyonaria;Anthozoa;Alcyonacea;Alcyonacea
17;Alcyonaires;Alcyonaria;Anthozoa;NA;Octocorallia
45;Alcyonarians;Alcyonaria;Anthozoa;NA;Octocorallia
50;Alcyonarians;Alcyonaria;Anthozoa;Alcyonacea;Muricea atlantica
52;Algae;Algae;NA;NA;Algae
53;Algae;Algae;Florideophyceae;Gelidiales;Gelidium sp
54;Algae;Coralline algae;Florideophyceae;Corallinales;Corallina subulata
55;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota dentata
56;Algae;Algae;Florideophyceae;Ceramiales;Ceramium sp
57;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota bartayresii
58;Algae;Algae;Ulvophyceae;Ulvales;Ulva lactuca
60;Algae;Algae;Florideophyceae;Gigartinales;Hypnea spinella
61;Algae;Coralline algae;Florideophyceae;Corallinales;Jania rubens
62;Algae;Algae;Florideophyceae;Gelidiales;Gelidium corneum
63;Algae;Algae;Florideophyceae;Gigartinales;Hypnea musciformis
64;Algae;Coralline algae;Florideophyceae;Corallinales;Amphiroa fragilissima
65;Algae;Coralline algae;Florideophyceae;Corallinales;Coralline_algae
68;Algae;Algae;Phaeophyceae;Sphacelariales;Sphacelaria tribuloides
69;Algae;Algae;Phaeophyceae;Fucales;Sargassum platycarpum
70;Algae;Algae;Phaeophyceae;Ectocarpales;Ectocarpus breviarticulatus
73;Algae;Algae;Ulvophyceae;Ulvales;Enteromorpha sp
74;Algae;Algae;Florideophyceae;Ceramiales;Laurencia papillosa
75;Algae;Cyanobacteria;Cyanophyceae;Oscillatoriales;Lyngbya majuscula
76;Algae;Algae;Phaeophyceae;Fucales;Turbinaria turbinata
77;Algae;Algae;Florideophyceae;Gracilariales;Gracilaria debilis
78;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa sertularioides
80;Algae;Algae;Florideophyceae;Ceramiales;Ceramium byssoideum
82;Algae;Algae;Phaeophyceae;Dictyotales;Dictyopteris delicatula
83;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota sp
84;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa taxifolia
85;Algae;Algae;Phaeophyceae;Ectocarpales;Colpomenia sinuosa
86;Algae;Algae;Ulvophyceae;Ulvales;Enteromorpha flexuosa
89;Algae;Algae;Florideophyceae;Ceramiales;Herposiphonia sp
90;Algae;Algae;Phaeophyceae;Fucales;Sargassum polyceratium
92;Algae;Coralline algae;Florideophyceae;Corallinales;Jania capillacea
94;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota divaricata
98;Algae;Diatoms;NA;NA;Diatoms
99;Algae;Algae;Florideophyceae;Rhodymeniales;Coelothrix irregularis
100;Algae;Algae;Ulvophyceae;Bryopsidales;Halimeda opuntia
101;Algae;Algae;Ulvophyceae;Bryopsidales;Halimeda sp
104;Algae;Algae;Ulvophyceae;Cladophorales;Rhizoclonium sp
105;Algae;Algae;Ulvophyceae;Cladophorales;Valonia sp
106;Algae;Algae;Phaeophyceae;Dictyotales;Dilophus guineensis
113;Algae;Algae;Florideophyceae;Ceramiales;Heterosiphonia wurdemanni
114;Algae;Algae;Ulvophyceae;Cladophorales;Rhizoclonium riparium
116;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa vickersiae
117;Algae;Cyanobacteria;Cyanophyceae;Oscillatoriales;Microcoleus chthonoplastes
118;Algae;Algae;Phaeophyceae;Fucales;Sargassum rigidulum
119;Algae;Algae;Florideophyceae;Gelidiales;Gelidium pusillum
120;Algae;Algae;Phaeophyceae;Dictyotales;Dictyopteris plagiogramma
122;Algae;Algae;Florideophyceae;Ceramiales;Ceramium fastigiatum
124;Algae;Algae;Florideophyceae;Ceramiales;Laurencia sp
129;Algae;Seagrass;Magnoliopsida;Alismatales;Thalassia testudinum
130;Algae;Algae;Ulvophyceae;Bryopsidales;Bryopsis pennata
132;Algae;Algae;Florideophyceae;Ceramiales;Bryothamnion triquetrum
142;Algae;Algae;Florideophyceae;Ceramiales;Laurencia obtusa
147;Algae;Algae;Phaeophyceae;Fucales;Sargassum fluitans
150;Algae;Algae;Florideophyceae;Halymeniales;Cryptonemia crenulata
156;Algae;Algae;Ulvophyceae;Bryopsidales;Halimeda incrassata
163;Algae;Algae;Florideophyceae;Ceramiales;Centroceras sp
165;Algae;Algae;Florideophyceae;Rhodymeniales;Champia parvula
175;Algae;Algae;Florideophyceae;Ceramiales;Polysiphonia sp
177;Algae;Cyanobacteria;Cyanophyceae;Synechococcales;Anacystis marina
179;Algae;Algae;Florideophyceae;Ceramiales;Ceramium nitens
180;Algae;Algae;Florideophyceae;Ceramiales;Acanthophora spicifera
182;Algae;Cyanobacteria;Cyanophyceae;Oscillatoriales;Microcoleus sp
188;Algae;Algae;Florideophyceae;Gelidiales;Gelidiella acerosa
192;Algae;Algae;Florideophyceae;Gracilariales;Gracilaria mammillaris
200;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa mexicana
201;Algae;Algae;Florideophyceae;Halymeniales;Grateloupia cuneifolia
202;Algae;Algae;Ulvophyceae;Cladophorales;Cladophora sp
203;Algae;Algae;Florideophyceae;Ceramiales;Herposiphonia secunda
205;Algae;Algae;Florideophyceae;Ceramiales;Centroceras clavulatum
216;Algae;Algae;Florideophyceae;Ceramiales;Spyridia filamentosa
217;Algae;Algae;Phaeophyceae;Fucales;Sargassum hystrix
220;Algae;Seagrass;Magnoliopsida;Alismatales;Cymodocea manatorum
229;Algae;Algae;Ulvophyceae;Bryopsidales;Halimeda monile
231;Algae;Algae;Ulvophyceae;Ulvales;Ulva sp
235;Algae;Algae;Phaeophyceae;Ectocarpales;Giffordia mitchellae
238;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa racemosa
247;Algae;Algae;Ulvophyceae;Bryopsidales;Udotea flabellum
248;Algae;Cyanobacteria;Cyanophyceae;Nostocales;Calothrix sp
249;Algae;Cyanobacteria;Cyanophyceae;Oscillatoriales;Lyngbya sp
252;Algae;Algae;Ulvophyceae;Cladophorales;Dictyosphaeria favulosa
257;Algae;Algae;Florideophyceae;Ceramiales;Polysiphonia ferulacea
263;Algae;Algae;Phaeophyceae;Dictyotales;Dictyopteris justii
266;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota linearis
267;Algae;Algae;Phaeophyceae;Dictyotales;Dictyota ciliata
270;Algae;Algae;Florideophyceae;Gigartinales;Eucheuma acanthocladum
276;Algae;Algae;Phaeophyceae;Dictyotales;Dictyopteris sp
277;Algae;Cyanobacteria;Cyanophyceae;Oscillatoriales;Oscillatoria sp
280;Algae;Algae;Florideophyceae;Nemaliales;Galaxaura sp
281;Algae;Algae;Phaeophyceae;Dictyotales;Padina gymnospora
285;Algae;Algae;Ulvophyceae;Cladophorales;Cladophora delicatula
295;Algae;Algae;Phaeophyceae;Fucales;Sargassum natans
297;Algae;Algae;Phaeophyceae;Dictyotales;Pocockiella variegata
310;Algae;Algae;Ulvophyceae;Bryopsidales;Bryopsis sp
312;Algae;Algae;Florideophyceae;Nemaliales;Liagora ceranoides
313;Algae;Algae;Florideophyceae;Ceramiales;Ceranium sp
315;Algae;Algae;Florideophyceae;Ceramiales;Chondria sp
318;Algae;Algae;Ulvophyceae;Bryopsidales;Codium isthmocladum
336;Algae;Algae;Ulvophyceae;Bryopsidales;Penicillus pyriformis
337;Algae;Algae;Florideophyceae;Ceramiales;Polysiphonia binneyi
340;Algae;Algae;Florideophyceae;Ceramiales;Chondria littoralis
350;Algae;Coralline algae;Florideophyceae;Corallinales;Lithothamnion sp
354;Algae;Algae;Florideophyceae;Ceramiales;Spermothamnion investiens
355;Algae;Algae;Ulvophyceae;Bryopsidales;Avrainvillea rawsonii
361;Algae;Algae;Florideophyceae;Nemaliales;Galaxaura squalida
365;Algae;Cyanobacteria;Cyanophyceae;Nostocales;Calothrix crustacea
372;Algae;Coralline algae;Florideophyceae;Corallinales;Jania sp
376;Algae;Algae;Florideophyceae;Rhodymeniales;Lomentaria uncinata
378;Algae;Algae;Florideophyceae;Rhodymeniales;Botryocladia occidentalis
386;Algae;Algae;NA;NA;Desmidiales
389;Algae;Algae;Florideophyceae;Ceramiales;Digenia simplex
390;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa cupressoides
391;Algae;Algae;Phaeophyceae;Fucales;Turbinaria sp
401;Algae;Algae;Phaeophyceae;Dictyotales;Padina sp
406;Algae;Algae;Florideophyceae;Gracilariales;Gracilaria sp
421;Algae;Cyanobacteria;NA;NA;Cyanobacteria
435;Gastropoda;Gastropoda;Gastropoda;NA;Gastropoda
444;Algae;Algae;Phaeophyceae;Fucales;Sargassum sp
450;Algae;Algae;Florideophyceae;Gracilariales;Gracilaria verrucosa
459;Algae;Algae;Phaeophyceae;Fucales;Sargassum pteropleuron
461;Algae;Algae;Phaeophyceae;Sphacelariales;Sphacelaria sp
481;Algae;Algae;Phaeophyceae;Dictyotales;Padina sanctae-crucis
485;Algae;Algae;Ulvophyceae;Bryopsidales;Caulerpa prolifera
492;Algae;Coralline algae;Florideophyceae;Corallinales;Corallina cubensis
494;Algae;Algae;Florideophyceae;Gigartinales;Peyssonnelia sp
517;Algae;Algae;Ulvophyceae;Cladophorales;Valonia ventricosa
547;Algae;Algae;Florideophyceae;Ceramiales;Vidalia obtusiloba
553;Algae;Algae;Florideophyceae;Halymeniales;Halymenia florisia
560;Algae;Algae;Phaeophyceae;Dictyotales;Spatoglossum schroderi
562;Algae;Cyanobacteria;Cyanophyceae;Nostocales;Dichothrix penicillata
