grp_raw;grp1;grp2;grp3;item_raw;item_class;item_ord_cor;item_cor
Fish;Fish;Fish;Actinopterygii;Fish;Actinopterygii;NA;Fish
Fish;Fish;Fish;Actinopterygii;Acanthrurus_sp;Actinopterygii;Acanthuriformes;Acanthurus sp
Fish;Fish;Fish;Actinopterygii;Cantherhines_pullus;Actinopterygii;Tetraodontiformes;Cantherhines pullus
Fish;Fish;Fish;Actinopterygii;Clupeidae;Actinopterygii;Clupeiformes;Clupeidae
Fish;Fish;Fish;Actinopterygii;Jenkinsia_sp;Actinopterygii;Clupeiformes;Jenkinsia sp
Fish;Fish;Fish;Actinopterygii;Scaridae;Actinopterygii;Labriformes;Scaridae
Cephalopods;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopods;Cephalopoda;NA;Cephalopoda
Fish;Fish;Fish;Actinopterygii;Priacanthus_arenatus;Actinopterygii;Priacanthiformes;Priacanthus arenatus
Fish;Fish;Fish;Actinopterygii;Diodon_hystrix;Actinopterygii;Tetraodontiformes;Diodon hystrix
Fish;Fish;Fish;Actinopterygii;Monacanthus_sp;Actinopterygii;Tetraodontiformes;Monacanthus sp
Sea turtles;Sea turtles;Sea turtles;Reptilia;Caretta_caretta;Reptilia;Testudines;Caretta caretta
Fish;Fish;Fish;Actinopterygii;Halichoeres_sp;Actinopterygii;Labriformes;Halichoeres sp
Fish;Fish;Fish;Actinopterygii;Engraulidae;Actinopterygii;Clupeiformes;Engraulidae
Fish;Fish;Fish;Actinopterygii;Opisthognathus_sp;Actinopterygii;Perciformes;Opisthognathus sp
Fish;Fish;Fish;Actinopterygii;Scorpaena_plumieri;Actinopterygii;Perciformes;Scorpaena plumieri
Sipunculids;Sipuncula;Sipuncula;Sipuncula;Aspidosiphon_sp;Phascolosomatidea;Aspidosiphonida;Aspidosiphon sp
Crab;Crab;Crab;Malacostraca;Crab;Malacostraca;Decapoda;Crab
Crab;Crab;Crab;Malacostraca;Calappids;Malacostraca;Decapoda;Calappidae
Crab;Crab;Crab;Malacostraca;Hippids;Malacostraca;Decapoda;Hippidae
Crab;Crab;Crab;Malacostraca;Majids;Malacostraca;Decapoda;Majidae
Crab;Crab;Crab;Malacostraca;Portunidae;Malacostraca;Decapoda;Portunidae
Crab;Crab;Crab;Malacostraca;Portunus_sp;Malacostraca;Decapoda;Portunus sp
Crab;Crab;Crab;Malacostraca;Xanthids;Malacostraca;Decapoda;Xanthidae
