item_raw;item_phylum;item_class;item_ord;grp1;grp6
Fish;Chordata;Actinopterygii;NA;Actinopterygii;Actinopterygii
Cephalopods;Mollusca;Cephalopoda;NA;Cephalopoda;Cephalopoda
Aspidosiphon_sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Sipuncula;Worm
Crab;Arthropoda;Malacostraca;Decapoda;Brachyura;Decapoda
Polychaetes;Annelida;Polychaeta;NA;Annelida;Worm
Asaphis_deflorata;Mollusca;Bivalvia;Veneroida;Bivalvia;Bivalvia
Shrimp;Arthropoda;Malacostraca;Decapoda;Shrimp;Decapoda
Hemichordates;Hemichordata;NA;NA;Hemichordata;Worm
Stomatopod;Arthropoda;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda
Gastropods;Mollusca;Gastropoda;NA;Gastropoda;Gastropoda
Pelecypod;Mollusca;Bivalvia;NA;Bivalvia;Bivalvia
Copepods;Arthropoda;Hexanauplia;NA;Copepoda;Zooplankton
Crab_larvae;Arthropoda;Malacostraca;Decapoda;Zooplankton;Zooplankton
Shrimp_larvae;Arthropoda;Malacostraca;Decapoda;Zooplankton;Zooplankton
Pteropods_Cresis_sp;Mollusca;Gastropoda;Pteropoda;Pteropoda;Zooplankton
Fish_eggs;Chordata;Actinopterygii;NA;Zooplankton;Zooplankton
Plants;NA;NA;NA;Algae;Benthic autotroph
Crab larvae;Arthropoda;Malacostraca;Decapoda;Zooplankton;Zooplankton
Mysids;Arthropoda;Malacostraca;Mysida;Mysida;Zooplankton
Appendicularians;Chordata;Appendicularia;NA;Tunicata;Zooplankton
Stomatopod larvae;Arthropoda;Malacostraca;Stomatopoda;Zooplankton;Zooplankton
Eggs;NA;NA;NA;Zooplankton;Zooplankton
Gastropod larvae;Mollusca;Gastropoda;NA;Zooplankton;Zooplankton
Siphonophores;Cnidaria;Hydrozoa;Siphonophorae;Hydrozoa;Zooplankton
Pelecypod larvae;Mollusca;Bivalvia;NA;Zooplankton;Zooplankton
Ostracods;Arthropoda;Ostracoda;NA;Ostracoda;Zooplankton
Pteropods;Mollusca;Gastropoda;Pteropoda;Pteropoda;Zooplankton
Hyperiid;Arthropoda;Malacostraca;Amphipoda;Amphipoda;Zooplankton
Squids;Mollusca;Cephalopoda;Teuthida;Cephalopoda;Cephalopoda
Anchoa_sp;Chordata;Actinopterygii;Clupeiformes;Actinopterygii;Actinopterygii
Lysmata_moorei;Arthropoda;Malacostraca;Decapoda;Shrimp;Decapoda
Scarus_sp;Chordata;Actinopterygii;Pleurotomariida;Actinopterygii;Actinopterygii
Octopuses;Mollusca;Cephalopoda;Octopoda;Cephalopoda;Cephalopoda
Gonodactylus_curacaoensis;Arthropoda;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda
Echinoids;Echinodermata;Echinoidea;NA;Echinoidea;Echinoidea
Haemulon_aurolineatum;Chordata;Actinopterygii;Lutjaniformes;Actinopterygii;Actinopterygii
Gastropods larvae;Mollusca;Gastropoda;NA;Zooplankton;Zooplankton
Jenkinsia_sp;Chordata;Actinopterygii;Clupeiformes;Actinopterygii;Actinopterygii
Carpenter_ants;Arthropoda;Insecta;Hymenoptera;Insecta;Insecta
Hermit_crab;Arthropoda;Malacostraca;Decapoda;Anomura;Decapoda
Insecta;Arthropoda;Insecta;NA;Insecta;Insecta
Cavolinids;Mollusca;Gastropoda;Pteropoda;Pteropoda;Zooplankton
Seagrass;Tracheophyta;NA;NA;Seagrass;Benthic autotroph
Carideans;Arthropoda;Malacostraca;Decapoda;Shrimp;Decapoda
Gastropods;Mollusca;Gastropoda;Trochida;Gastropoda;Gastropoda
Isopods;Arthropoda;Malacostraca;Isopoda;Isopoda;Zooplankton
Stomatopod_larvae;Arthropoda;Malacostraca;Stomatopoda;Zooplankton;Zooplankton
Ophiurids;Echinodermata;Ophiuroidea;NA;Ophiuroidea;Ophiuroidea
