site,cons_class,cons_fam,cons_sp,cons_size,lev1,lev2,w
mad,Actinopterygii,Pomacentridae,Pomacentrus tripunctatus,7.5,Actinopterygii,Actinopterygii,0.19
nca,Actinopterygii,Apogonidae,Apogon hyalosoma,7.99127659574,Actinopterygii,Actinopterygii,0.071428571
jap,Actinopterygii,Pomacentridae,Chrysiptera brownriggii,8,Actinopterygii,Actinopterygii,0.11
mari,Actinopterygii,Pomacentridae,Chrysiptera brownriggii,8,Actinopterygii,Actinopterygii,0.05
mari,Actinopterygii,Pomacentridae,Pomacentrus pavo,8.5,Actinopterygii,Actinopterygii,0.5
mad,Actinopterygii,Gobiidae,Vanderhorstia ornatissima,8.5,Actinopterygii,Actinopterygii,0.09
mari,Actinopterygii,Serranidae,Pseudogramma polyacantha,8.6,Actinopterygii,Actinopterygii,0.09
mad,Actinopterygii,Apogonidae,Apogonichthyoides timorensis,9,Actinopterygii,Actinopterygii,0.3
mad,Actinopterygii,Apogonidae,Fowleria aurita,9,Actinopterygii,Actinopterygii,0.08
jap,Actinopterygii,Pomacentridae,Pomacentrus chrysurus,9,Actinopterygii,Actinopterygii,0.34
mad,Actinopterygii,Scorpaenidae,Sebastapistes strongia,9.5,Actinopterygii,Actinopterygii,0.08
vir,Actinopterygii,Atherinidae,Atherinomorus stipes,10,Actinopterygii,Actinopterygii,0.2
jap,Actinopterygii,Pomacentridae,Dascyllus aruanus,10,Actinopterygii,Actinopterygii,0.08
mari,Actinopterygii,Pomacentridae,Dascyllus aruanus,10,Actinopterygii,Actinopterygii,0.26
mad,Actinopterygii,Gobiidae,Oplopomus oplopomus,10,Actinopterygii,Actinopterygii,0.04
mari,Actinopterygii,Apogonidae,Ostorhinchus novemfasciatus,10,Actinopterygii,Actinopterygii,0.83
mad,Actinopterygii,Pomacentridae,Plectroglyphidodon lacrymatus,10,Actinopterygii,Actinopterygii,0.53
mad,Actinopterygii,Plesiopidae,Plesiops coeruleolineatus,10,Actinopterygii,Actinopterygii,0.27
mari,Actinopterygii,Plesiopidae,Plesiops coeruleolineatus,10,Actinopterygii,Actinopterygii,0.33
mari,Actinopterygii,Pomacentridae,Pomacentrus vaiuli,10,Actinopterygii,Actinopterygii,0.1
haw,Actinopterygii,Scorpaenidae,Sebastapistes coniorta,10,Actinopterygii,Actinopterygii,0.066666667
vir,Actinopterygii,Pomacentridae,Stegastes leucostictus,10,Actinopterygii,Actinopterygii,0.253
mad,Actinopterygii,Apogonidae,Taeniamia fucata,10,Actinopterygii,Actinopterygii,0.08
mad,Actinopterygii,Scorpaenidae,Sebastapistes nuchalis,10.16,Actinopterygii,Actinopterygii,0.18
jap,Actinopterygii,Pomacentridae,Chromis ternatensis,10.5,Actinopterygii,Actinopterygii,0.03
jap,Actinopterygii,Pomacentridae,Amblyglyphidodon curacao,11,Actinopterygii,Actinopterygii,0.15
mad,Actinopterygii,Apogonidae,Ostorhinchus angustatus,11,Actinopterygii,Actinopterygii,0.16
mari,Actinopterygii,Pomacentridae,Plectroglyphidodon dickii,11,Actinopterygii,Actinopterygii,0.22
mad,Actinopterygii,Pomacentridae,Pomacentrus sulfureus,11,Actinopterygii,Actinopterygii,0.33
vir,Actinopterygii,Scorpaenidae,Scorpaena inermis,11,Actinopterygii,Actinopterygii,0.003
mari,Actinopterygii,Tetraodontidae,Canthigaster solandri,11.5,Actinopterygii,Actinopterygii,0.06
mari,Actinopterygii,Pomacentridae,Chrysiptera glauca,11.5,Actinopterygii,Actinopterygii,0.12
mari,Actinopterygii,Gobiidae,Bathygobius fuscus,12,Actinopterygii,Actinopterygii,0.29
mad,Actinopterygii,Bythitidae,Dinematichthys iluocoeteoides,12,Actinopterygii,Actinopterygii,0.08
mari,Actinopterygii,Bythitidae,Dinematichthys iluocoeteoides,12,Actinopterygii,Actinopterygii,0.25
mari,Actinopterygii,Atherinidae,Hypoatherina temminckii,12,Actinopterygii,Actinopterygii,0.14
mad,Actinopterygii,Blenniidae,Plagiotremus rhinorhynchos,12,Actinopterygii,Actinopterygii,0.91
mari,Actinopterygii,Pomacentridae,Plectroglyphidodon leucozonus,12,Actinopterygii,Actinopterygii,0.5
mari,Actinopterygii,Apogonidae,Pristiapogon exostigma,12,Actinopterygii,Actinopterygii,0.25
vir,Actinopterygii,Scorpaenidae,Scorpaenodes caribbaeus,12,Actinopterygii,Actinopterygii,0.077
mad,Actinopterygii,Pomacentridae,Chrysiptera biocellata,12.5,Actinopterygii,Actinopterygii,0.04
mari,Actinopterygii,Pomacentridae,Chrysiptera biocellata,12.5,Actinopterygii,Actinopterygii,0.09
mari,Actinopterygii,Cirrhitidae,Cirrhitichthys aprinus,12.5,Actinopterygii,Actinopterygii,1
mari,Actinopterygii,Labridae,Halichoeres margaritaceus,12.5,Actinopterygii,Actinopterygii,0.06
vir,Actinopterygii,Pomacentridae,Stegastes fuscus,12.6,Actinopterygii,Actinopterygii,0.049
vir,Actinopterygii,Serranidae,Hypoplectrus chlorurus,12.7,Actinopterygii,Actinopterygii,0.25
jap,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.4
mad,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.26
mari,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.61
vir,Actinopterygii,Serranidae,Hypoplectrus aberrans,13,Actinopterygii,Actinopterygii,0.119
vir,Actinopterygii,Opistognathidae,Opistognathus maxillosus,13,Actinopterygii,Actinopterygii,0.227
mad,Actinopterygii,Pomacentridae,Chromis weberi,13.5,Actinopterygii,Actinopterygii,0.02
jap,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,1
mad,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,0.44
mari,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,0.2
vir,Actinopterygii,Opistognathidae,Opistognathus whitehursti,14,Actinopterygii,Actinopterygii,0.22
mad,Actinopterygii,Apogonidae,Ostorhinchus endekataenia,14,Actinopterygii,Actinopterygii,0.04
